content,time,title
"Reliance Group chairman Anil Ambani has told a UK court that suggestions of his lavish tastes are speculative because his lifestyle is ""very disciplined"" as he gave evidence in a dispute involving a loan agreement with three Chinese banks.,The 61-year-old former billionaire appeared via video link from Mumbai before the High Court on Friday for compulsory cross-examination in aid of an asset disclosure order obtained by the Industrial and Commercial Bank of China Ltd Mumbai Branch, China Development Bank and Exim Bank of China.,The order required Ambani to give full disclosure of all of his assets worldwide exceeding USD 100,000.,""My needs are not vast and my lifestyle is very disciplined,"" Ambani told the London court.,Asked about his fleet of luxury cars and other references to his lavish lifestyle as the counsel for the banks cross-examined him, the Reliance Communications chief dismissed them as ""speculative"" media stories.,""Mr Anil Ambani has always been a simple man of simple tastes, contrary to exaggerated perceptions of his flamboyance and lavish lifestyle,"" said a spokesperson for Anil Ambani.,""He is devoted to his family and company, an avid marathon runner, and deeply spiritual. He is also a lifelong vegetarian, teetotaller and non-smoker who would much rather watch a movie at home with his kids than go out on the town. Reports that suggest otherwise are completely misleading,"" the spokesperson said.,The dispute revolves around an alleged breach of a personal guarantee on a company debt refinancing loan of around USD 925 million dating back to February 2012.,Ambani denies providing authority for any such guarantee, resulting in the High Court action in the UK – the jurisdiction agreed upon as part of the terms of the loan agreement.,In May, the Commercial Division of the High Court of England and Wales in London had ruled that the personal guarantee was binding on Ambani and directed him to pay early USD 717 million to the three Chinese banks.,""The banks will use the information from the cross-examination to pursue all available legal avenues to protect their rights and recover the outstanding loans owed to them,” the banks said in a statement this week.,At a hearing in the case earlier in the year, a UK judge had ruled that he did not accept Ambani's defence that his net worth was nearly zero or that his family would not step in to assist him when ""push came to shove"". ","Sep 26, 2020
                            ,03:40 PM (IST),3 hours ago                            ","Anil Ambani discloses worldwide assets; tells UK court that he 'leads disciplined, not lavish lifestyle'"
"United Nations, September 24,Global labour income is estimated to have declined by 10.7 per cent or USD 3.5 trillion in the first three quarters of 2020 due to the COVID-19 pandemic, the International Labour Organization (ILO) said on Wednesday.,“The devastating losses in working hours caused by the COVID-19 pandemic have brought a ‘massive’ drop in labour income for workers around the world,” the ILO said in its latest assessment of the effects of the pandemic on the world of work.,Global labour income is estimated to have declined by 10.7 per cent or USD 3.5 trillion in the first three quarters of 2020, compared to the same period in 2019. This figure excludes the income support provided through government measures.,The ILO said the biggest drop was in the lower-middle income countries, where the labour income losses reached 15.1 per cent, with the Americas being the hardest hit region at 12.1 per cent.,The ILO Monitor: COVID-19 and the world of work sixth edition also estimates that global working hour losses in the first nine months of 2020 have been “considerably larger” than previously estimated.,The revised estimate of the global working time lost in the second quarter of this year (compared to Q4 2019) is for 17.3 per cent, equivalent to 495 million full time equivalent (FTE) jobs. The working-hour losses are expected to remain high in the third quarter of 2020, at 12.1 per cent or 345 million FTE jobs.,The outlook for Q4 has worsened significantly since the last ILO Monitor was issued. Under the ILO’s baseline scenario, global working-hour losses are now projected to amount to 8.6 per cent in the fourth quarter of 2020 (compared to Q4 2019), which corresponds to 245 million FTE jobs. This is an increase from the ILO’s previous estimate of 4.9 per cent or 140 million FTE jobs.,The ILO said a reason for the estimated increases in working-hour losses is that workers in developing and emerging economies, especially those in informal employment, have been much more affected than by past crises. It also notes that the drop in employment is more attributable to inactivity than unemployment, with important policy implications.,“While many stringent workplace closures have been relaxed, there are significant variations between regions. 94 per cent of workers are still in countries with some sort of workplace restrictions and 32 per cent are in countries with closures for all but essential workplaces,” the agency said.,Workers in developing nations had also seen their income drop by more than 15 per cent, ILO Director-General Guy Ryder told journalists in Geneva.,“On top of this, these are the places where there are the weakest social protection systems, so there are very few resources or protections for working people to fall back upon,” he said. “If you look at it regionally, the Americas were worst-affected, with losses of 12.1 per cent.”     Ryder said while the governments of richer countries had shored up their economies with hundreds of billions of dollars, poorer nations had been unable to do the same. Without such fiscal stimulus, working hours losses would have been 28 per cent between April and June, instead of 17.3 per cent, he added.,In order for developing countries to reach the same ratio of stimulus to working hours lost as in high-income countries, they would need to inject a further USD 982 billion (USD 45 billion in low-income countries and USD 937 billion in lower-middle income countries). The stimulus gap for low-income countries amounts to less than one per cent of the total value of the fiscal stimulus packages announced by high-income countries.,This huge “fiscal stimulus gap” is even more worrying in the light of the social protection deficits in many developing countries. Moreover, some of these countries have also had to redirect public spending from other objectives in order to mitigate the labour market impact of the crisis, the ILO said.,“Just as we need to redouble our efforts to beat the virus, so we need to act urgently and at scale to overcome its economic, social and employment impacts. That includes sustaining support for jobs, businesses and incomes,” Ryder said.,“As the United Nations General Assembly gathers in New York, there is a pressing need for the international community to set out a global strategy for recovery through dialogue, cooperation and solidarity. No group, country or region can beat this crisis alone,” he added. PTI","Sep 24, 2020
                            ,03:10 PM (IST),2 days ago                            ",Global labour income estimated to have declined by 3.5 trillion USD in first 3 quarters of 2020: ILO
"New Delhi, September 24,American cult bike manufacturer Harley Davidson on Thursday said it was discontinuing sales and manufacturing operations in India, a decade after it started selling its premium bikes in the country.,Industry sources said the company was looking to tie up with a partner to run its business in the country.,The India action will include an associated workforce reduction of approximately 70 employees, Harley-Davidson Inc said in an SEC filing.,The development is part of the company's global ""2020 Restructuring Activities"". In the second quarter of 2020, Harley-Davidson had initiated restructuring activities like workforce reduction and the termination of certain contracts that would result in the elimination of approximately 700 positions globally, including the termination of approximately 500 employees.,The Milwaukee-based company refers to restructuring actions related to employees and other services as 'The Rewire' .,In a separate statement, Harley-Davidson said it planned to close its manufacturing facility in Bawal (Haryana) and significantly reduce the size of its sales office in Gurugram.,The company's dealer network will continue to serve customers through the contract term, Harley Davidson said, adding it is communicating with its customers in India and will keep them updated on future support.,""As part of The Rewire, an overhaul of its operating model and market structure, the company is changing its business model in India and evaluating options to continue to serve its customers.,""These actions are aligned with The Rewire which is planned to continue through the end of 2020, leading to The Hardwire, a new strategic plan for 2021-2025 aimed at building desirability for the Harley-Davidson brand and products,"" said the statement.,From its entry to exit, Harley-Davidson's journey in the country witnessed governments of India and the US using it as a bargaining chip.,In April 2007, the then Indian Government had relaxed emission and testing norms, paving the way for import of Harley Davidson bikes to India, in return for allowing mango exports from the country to the US.,The import relaxation was restricted to the shipments of motorcycles up to 800 cc engine capacity or above subject to compliance to Euro III emission norms.,Later in 2009, the company announced the establishment of its operations in India, followed by starting of sales of its bikes a year later. Then the company set up its completely knocked down assembly plant in Haryana and started rolling out assembled bikes from the unit in the early part of 2011.,The company's assembly plant at Bawal in Haryana was its second facility outside of the US after Brazil, and it had planned to use the unit to export to Europe and South-East Asian markets.,In the recent past, US President Donald Trump criticised India's high import tariff on the iconic Harley Davidson motorcycles as ""unacceptable"" as the two countries negotiated for an elusive trade deal.,In the SEC filing, the company said as a result of the actions approved from August 6, 2020, through September 23, 2020, it expected to incur restructuring expenses of around USD 75 million in 2020, of which around 80 per cent were expected to be cash expenditures, including one-time termination benefits of close to USD 3 million, non-current asset adjustments of approximately USD 5 million, and contract termination and other costs close to USD 67 million.,As per the filing, the full implementation of these 'Rewire' actions may require the company to commit more funds for additional contract termination and other costs.,Including previously disclosed restructuring charges, the company expects total restructuring expenses associated with Rewire restructuring actions approved through September 23, 2020, of approximately USD 169 million in 2020, the filing said.,The company expects to complete the restructuring activities approved through September 23, 2020, within the next 12 months, it added.,Harley Davidson's portfolio in India includes bikes like Street 750 and Iron 883, among others with prices starting from Rs 4.69 lakh and going up over Rs 18 lakh. PTI","Sep 24, 2020
                            ,09:17 PM (IST),1 day ago                            ","Harley Davidson to exit India, seeks local partner to serve existing customers"
"The rupee depreciated 26 paise to 73.83 against the US dollar in opening trade on Thursday as selloff in domestic equities and significant foreign fund outflows weighed on investor sentiment.,At the interbank forex market, the rupee opened on a weak note at 73.82, then fell further to 73.83, registering a fall of 26 paise over its last close.,On Wednesday, the rupee appreciated by one paisa to close at 73.57 against the US dollar.,""Given the uncertainty to economic outlook from the second wave of COVID-19 cases, US presidential elections and US stimulus package, investors are shunning risky assets. Commodities and equities have sold off,"" Abhishek Goenka, Founder and CEO, IFA Global.,Meanwhile, the dollar index, which gauges the greenback's strength against a basket of six currencies, rose 0.03 per cent to 94.41.,On the domestic equity market front, the 30-share BSE benchmark Sensex was trading 510.46 points lower at 37,157.96 and broader NSE Nifty plunged 155.45 points to 10,976.40.,Foreign institutional investors were net sellers in the capital market as they offloaded shares worth Rs 3,912.44 crore on Wednesday, according to provisional exchange data.,Brent crude futures, the global oil benchmark, fell 1.01 per cent to USD 41.35 per barrel. —PTI  ","Sep 24, 2020
                            ,11:39 AM (IST),2 days ago                            ",Rupee depreciates 26 paise to 73.83 against US dollar in early trade
"Reliance Jio has started offering mobile services on 22 flights on international routes, with plans starting at Rs 499 per day.,The company's partner airlines include Cathay Pacific, Singapore Airlines, Emirates, Etihad Airways, Euro Wings, Lufthansa, Malindo Air, Biman Bangladesh Airlines, and Alitalia.,With this, Jio has become the second Indian telecom company to offer in-flight service. Tata group firm Nelco has started providing in-flight mobile services in Vistara airlines on the London route.,The company has announced three international roaming packs for international travellers from India priced at Rs 499, Rs 699 and Rs 999 with 1-day validity.,While all plans offer 100 minutes of outgoing voice calls and 100 SMS, the Rs 499 plan provides 250 megabytes (MB) of mobile data, Rs 699 gives 500 MB and Rs 999 plan comes with 1 GB of data.,None of the plans will allow incoming calls, while incoming SMS is free, according to information available on Jio website.,First-time users of the in-flight mobile services will need to activate the plans on Jio network, and international roaming services will not work on JioPhone and Jio's wifi device, according to the information on the website. PTI ","Sep 24, 2020
                            ,03:44 PM (IST),2 days ago                            ",Jio starts offering mobile services on 22 international flights
"Shanghai, September 24,ByteDance has applied for a tech export licence in China as it races to seal a deal with Oracle Corp and Walmart Inc that it hopes will end the US government plans to ban its TikTok video-streaming app on security grounds.,The Beijing-based firm submitted the application to Beijing’s municipal commerce bureau and was awaiting a decision, it said on its Toutiao online news platform on Thursday, without referring to ongoing talks over its US operations.,The application comes about a month after China revised its list of technologies subject to export bans or restrictions for the first time in 12 years, in a manner which experts said gave the government a say over any TikTok deal. It can take up to 30 days to obtain preliminary approval to export such technology.,Chinese commerce ministry spokesman Gao Feng told reporters on Thursday that the application had been received and would be handled in accordance with relevant regulations and procedures.,ByteDance has said its deal with Oracle and Walmart will see the creation of a standalone US company and does not involve any transfer of technology, though Oracle will be able to inspect TikTok US source code.,It has also said the deal needs approval from both China and the United States.,However, the companies have issued conflicting statements over the terms of the agreement they reached with the White House.,ByteDance said it would establish a US subsidiary called TikTok Global of which it will own 80 per cent. Oracle and Walmart, however, said majority ownership of TikTok Global would be in American hands, complying with an August 14 executive order by US President Donald Trump that ByteDance relinquishes ownership of TikTok within 90 days.,Chinese state media outlets China Daily and the Global Times this week said they saw no reason for China to approve the deal that Oracle and Walmart said they had struck with ByteDance, calling it based on “bullying and extortion”.,TikTok’s experience is “a textbook example of the United States’ modern-day piracy and tech bullying,” Chinese state news agency Xinhua said in an English-language commentary on Thursday, adding that national security concerns that Washington has expressed over TikTok were “nothing but a fig leaf”.,“It is time that other countries saw through the outrageous farce of the TikTok drama, knew what is really at stake and joined hands to oppose such blatant robberies and maintain a fair global business environment,” it said.,TikTok asked a US judge on Wednesday to block an order from Trump’s administration that would require Apple Inc and Alphabet Inc’s Google to remove its short video-sharing app for new downloads from Sunday.,In response to a question on TikTok’s request, Chinese foreign ministry spokesman Wang Wenbin on Thursday said China supports companies’ use of relevant legal weapons to uphold their rights. Reuters","Sep 24, 2020
                            ,02:06 PM (IST),2 days ago                            ",ByteDance applies for tech export licence in China amid TikTok deal talks
"Reliance Jio has started offering mobile services on 22 flights on international routes, with plans starting at Rs 499 per day.,The company’s partner airlines include Cathay Pacific, Singapore Airlines, Emirates, Etihad Airways, Euro Wings, Lufthansa, Malindo Air, Biman Bangladesh Airlines, and Alitalia.,The company has announced three international roaming packs for international travellers from India priced at Rs 499, Rs 699 and Rs 999 with 1-day validity.,While all plans offer 100 minutes of outgoing voice calls and 100 SMS, the Rs 499 plan provides 250 megabyte (MB) of mobile data, Rs 699 gives 500 MB and Rs 999 plan comes with 1 GB of data. — PTI","Sep 25, 2020
                            ,07:52 AM (IST),1 day ago                            ",Reliance Jio begins in-flight mobile service
"American cult bike manufacturer Harley-Davidson on Thursday said it is discontinuing its current business model in India.,As part of the process, the company is planning to close its manufacturing facility in Bawal (Haryana) and significantly reduce the size of its sales office in Gurgaon, the bike manufacturer said.,The company is communicating with its customers in India and will keep them updated on future support, it added. The company’s dealer network will continue to serve customers through the contract term, Harley Davidson said. “As part of The Rewire, an overhaul of its operating model and market structure, the company is changing its business model in India and evaluating options to continue to serve its customers,” it noted. — PTI","Sep 25, 2020
                            ,07:52 AM (IST),1 day ago                            ",Harley-Davidson puts brakes on India biz
"Bengaluru, September 24,Flipkart Wholesale, the digital B2B marketplace of Flipkart Group, on Thursday announced the expansion of its operations into 12 new cities.,Expanding with the fashion category in these cities, Flipkart Wholesale will now be operational in Ghaziabad, Faridabad, Mysuru, Chandigarh Tricity, Meerut, Agra, Jaipur, Thane-Bhiwandi-Ulhasnagar, Greater Mumbai, Vasai-Virar-Mira- Bhayandar, Thane (Kalyan-Dombivli) and Thane (Navi Mumbai).,By this year-end, Flipkart Wholesale also planned to expand into categories such as home and kitchen and grocery, it said in a statement. PTI","Sep 24, 2020
                            ,01:51 PM (IST),2 days ago                            ",Flipkart Wholesale enters 12 new cities ahead of festive season
"Mumbai, September 24,Falling for the sixth straight session, domestic equity benchmark Sensex plunged 1,115 points on Thursday amid a heavy sell-off in global equities.,After opening on a weak note, the 30-share BSE index lost further ground and settled 1,114.82 points or 2.96 per cent down at 36,553.60.,Similarly, the NSE Nifty crashed 326.30 points or 2.93 per cent to close at 10,805.55.,Barring Hindustan Unilever, all Sensex components ended in the red.,IndusInd Bank was the top laggard, tumbling over 7 per cent, followed by Bajaj Finance, M&M, Tech Mahindra, TCS and Tata Steel.,Traders said growing concerns over economic recovery and lack of fresh stimulus by central banks led to the global market selloff. Fears of a second wave of COVID-19 cases in many economies also weighed on sentiment, they added.,In the forex market, the rupee depreciated 32 paise to finish at 73.89 against the US dollar.,Meanwhile, global oil benchmark Brent crude was trading 0.22 per cent lower at USD 41.68 per barrel. PTI","Sep 24, 2020
                            ,10:13 AM (IST),2 days ago                            ","Sensex crashes 1,115 points amid global sell-off; Nifty slips below 11,000"
