content,time,title
"Our Correspondent,Abohar, September 25,The organisers of Miss World America pageant have announced this year’s contestant list. Indian- American Shree Saini, who was born in Abohar, Punjab, is also vying for the title.,Shree is the chosen representative of Washington State. She is a survivor of a heart surgery, which she underwent at the age of 12. She is also a burns survivor.,A graduate from University of Washington, Saini has been a visiting student at Harvard, Stanford and Yale Universities. She has earned the “Best Pageant Titleholder” award and recognitions from the Secretary of State, Senate, Governor and the American Heart Association CEO.,“Serving and inspiring others is a responsibility for me. It is our duty that we shine with enthusiasm and serve others with love. That is “Beauty with a Purpose” for me,” Shree said. She had collapsed before the final night of the Miss World America 2019 and could not finish competing.,This year’s event will be held in a series of virtual web casts in combination with online submissions. All contestants would participate in real-time preliminary competitions and would receive camera time in front of a live audience and judges.","Sep 26, 2020
                            ,07:25 AM (IST),6 hours ago                            ",Abohar girl Shree to compete in Miss World America pageant
"Contending that the vote of Hindu Americans will be an essential part of Democrats' electoral success, prominent community members, including those who have worked with former US vice president Joe Biden, has said that a Biden administration would always work to have a constructive and positive relationship with India based on trust and conversation.,US President Donald Trump, a Republican, is seeking another term in the November 3 presidential election. Trump is being challenged by Biden, the Democratic Party's nominee.,A Biden administration would always work to have a constructive and positive relationship with India, and by extension, with Hindu Americans who identify strongly with their Indian identities, Nisha Biswal, former assistant secretary of state for south and central Asia, said during a “Dharma of Voting” event by Hindu Americans for Biden and South Asians for Biden.,“In a Biden administration, there will always be trust and conversation with India.,“Conversations will happen with a sense of regard and respect,” Biswal said during the virtual event that featured high-ranking Obama-Biden administration alumni including Arun Kumar, former assistant secretary of commerce and Nishit Acharya, former director of innovation and entrepreneurship.,The panel also included Anu Natarajan, former vice mayor of Fremont, California, the first Hindu American elected to the Fremont city council and Aminta Kilawan-Naraine, a nationally recognised Caribbean Hindu leader and activist who founded the South Queens Women's March in New York.,During the event, the speakers touched on the centrality of their Hindu identity, and how following their dharma, the quest for righteousness through selfless duty, led them to public service.,They also made impassioned pitches to fellow Hindu Americans to support the Biden-Harris ticket.,“Hindus participate in a quest for truth. The Biden administration will be committed to that quest,” said Kumar, now chairman and CEO of KPMG India.,Natarajan discussed the Hindu American and Indian American communities' impact on election results. Kilawan-Narine noted that Biden's connection to his faith resonates with many Hindu Americans.,Dr Murali Balaji, co-chair of Hindu Americans for Biden, noted that the Trump administration's actions against Hindu Americans contradicted his boasts of being a “big fan of Hindus,” as he once claimed in 2016.,“This administration has conducted raids against our Caribbean Hindu brothers and sisters, limited refugee opportunities for Hindus escaping religious persecution, capped immigration for Hindus coming from abroad, and revoked temporary protected status for nearly 10,000 Nepali Hindus displaced by the 2015 Nepal earthquake,” he alleged.,Hindu Americans are absolutely one of the most critical voting blocs in this year's election, said Neha Dewan, national director for South Asians for Biden.,“As highlighted at the event, the Biden-Harris ticket has a deep and longstanding relationship with the Hindu American community, and is actively listening to their voices and working to earn their votes,” she said. PTI ","Sep 22, 2020
                            ,12:22 PM (IST),3 days ago                            ",Biden campaign seeks support from Hindu Americans
" A 72-year-old Chinese-origin businessman in Singapore was on Monday jailed for eight-and-a-half years for stabbing his Indian-origin son-in-law to death at a coffee shop in broad daylight following disputes over his handling of the family business and extra-marital affairs.,Tan Nam Seng pleaded guilty last month to a charge of culpable homicide not amounting to murder by stabbing 38-year-old Spencer Tuppani three years ago during a busy lunch hour in the central business district, according to a Channel News Asia report.,Justice Dedar Singh Gill said this was a “vicious and brazen killing” but noted the accused’s major depressive disorder at the time, as well as his “fast-deteriorating” health, which the judge said weighed heavily on his mind, the report said.,Tuppani had made several business moves that Tan perceived as a ploy to cheat him of his company. They also lived in the same household, even after Tan’s daughter discovered Tuppani’s affair with another woman and the couple was quarrelling frequently, it said.,On the day of the incident, July 10, 2017, Tan saw his son-in-law eating at a coffee shop. Tan retrieved a knife from the company’s office at Cecil Court before approaching the younger man who was there with three friends, the report said.,The accused told Tuppani “you are too much” in Hokkien (a Chinese dialect), before stabbing him three times in quick succession and following the victim as he stumbled away and collapsed in front of an outlet, it said.,Tan stood over his son-in-law and stopped others from helping him, telling them to “let him die” and that “I wish to kill him”, the report said, adding that before the police arrived, Tan kicked the younger man’s face twice, before calling his daughter.,He said to her: “I can’t sleep at night. I have done it. I have killed him. Don’t cry. I am old already. I am not scared (of) going to jail”., The prosecution asked for 12 years’ jail, saying that while Tan was suffering from a major depressive disorder, there were “crucial” aggravating factors including the fact that it was “a revenge tragedy”.,Tan exacted revenge on his son-in-law in a “brutal, public and unprovoked killing” in broad daylight, said Deputy Public Prosecutor Lim Jian Yi.,Defence lawyer Wee Pan Lee asked for seven-and-a-half years’ jail. He said Tan is a divorcee who received only primary school education, beginning work as a coolie for a transport contractor in his early teens.,He worked his way up to become a ferry clerk and later started his own shipping and transport cargo company at the age of 27.,At its peak, the group of companies employed more than a thousand people, and Tan intended to groom Tuppani to run the business with his daughters after retirement.,However, when Tuppani handled the sale of the business, Tan and his eldest daughter each received only 450,000 Singapore dollars (USD 3,30,990) instead of 1 million dollars.,“He used company funds to fund his own lavish lifestyle… for expensive cars, luxury watches and the upkeep of (his) mistresses,” said Wee.,Tan later discovered his daughter’s marital woes with Tuppani, who had been “involved in a string of extramarital affairs”.,Tan began to realise that Tuppani would not honour his word to return company shares to him and his daughter, and realised his son-in-law had been surreptitiously recording arguments with his daughter to use in divorce proceedings, going against his word to Tan not to fight over custody.,“Objectively, to a right-minded person, this was a vicious and brazen killing carried out in broad daylight on an unsuspecting victim having a meal in a coffee shop…,” said Justice Gill.,However, medical evidence has established that Tan had major depressive disorder and was experiencing an episode at the time, said the judge.,He was also in a pervasive dysphoric state and was worried about the well-being of his daughters. This state of mind adversely affected his impulse control and judgment, and significantly impaired his mental responsibility for the act, the judge added.,For culpable homicide not amounting to murder, Tan could have been jailed for life. He cannot be caned as he is above 50. PTI","Sep 21, 2020
                            ,07:01 PM (IST),4 days ago                            ",Chinese-origin businessman in Singapore jailed for killing Indian-origin son-in-law
"London, September 22,A Punjab-born Sikh taxi driver has said that four white men assaulted him in Berkshire, England, and asked if he was a member of the Taliban militant group.,Vaneet Singh (41), from Tilehurst suburb of the Reading town, believes the four accused could have been Scottish or Irish.,Singh, who has been left bruised and battered after the incident, told the police that the men also stuck drugs up his nose, vandalised his taxi and tried to pull his turban off.,One of them had asked to be dropped in nearby Bramley after all four were picked up from a casino in Berkshire.,“After he got out, he came up to my window holding a black box of substance which I think was cannabis. He asked me to try it and I said it was against my religion and then he lifted up my face mask and forced it up to my nose. It left me feeling intoxicated,” Singh claimed.,Another man asked Singh to stop to urinate.,“He got out and asked to drive the car and I refused. Then he started trying to pull my taxi plate off. I tried to call the police but the network was very poor. Back in the car, they slid their fingers inside my turban and tried to pull it off,” Singh said.,“They also kicked and punched me in the back through the seat and kept tightening my safety belt. They said, ‘Are you Taliban?’ I said, ‘No, I’m a Sikh’, and told them it was a religious symbol and asked them not to touch my turban,” he added.,All three men got out at red traffic in Basingstoke, kicked the back of his car, leaving a dent and left.,Besides driving a cab, Singh also teaches tabla in Berkshire.,“I have neck pain and chest pain now and my body keeps vibrating. This was 100 per cent a racist attack. I am usually a friendly guy, always laughing but this has made me scared,” he added.,Thames Valley Police said they were investigating the case. No arrests had been made so far. IANS","Sep 22, 2020
                            ,12:13 PM (IST),4 days ago                            ",Sikh man assaulted in England; asked if he was a Taliban member
"Washington, September 22,The Democratic Party in the US has released digital graphics in 14 Indian languages to encourage South Asians to vote and support their presidential candidate and former vice president Joe Biden in the November 3 elections.,Ajay Jain Bhutoria, Asian-American Pacific Islander Leadership Council and National Finance Committee member of the Biden campaign, said: “By leveraging technology and the reach of our partners, we educate South Asian Americans about how to register, sign up for election reminders, request mail-in ballots, learn about early voting options and go Vote for Biden-Harris.”,“‘Chale Chalo Biden ko vote do’ (Let’s go vote for Biden) musical video was viral, superhit with the community and this new series of graphics ‘Jaago America, Jaago, Bhul Na Jaana Biden-Haaris ko Vote Dena’ (Wake up America, wake up, don’t forget to vote for Biden-Harris) is a step forward in this series of outreach in 14 plus languages,” he said.,He said people connected with music, food, language and culture.,Bhutoria said there was a huge enthusiasm in the Indian-American community to elect Biden as the next president and Kamala Harris as the first Indian-origin vice president.,Earlier this year, California-based Bhutoria launched an outreach to the Indian community in 14 Indian Languages.,“‘America Ka Neta Kaisa Ho, Joe Biden Jaisa Ho’ (How should be America’s leader, just like Joe Biden). This was translated into 14 Indian languages and the graphics went viral on social media,” he said.,Bhutoria said the Democratic Party had been working with various grassroot organisations to get Indo-Americans and the greater South Asian community registered to vote, phone bank, and text bank in 14 distinct South Asian languages. The digital graphics in multiple languages were to inspire the South Asian voters, he added.,US President Donald Trump (74), is seeking re-election against Biden (77), who scripted history by selecting Senator Kamala Harris (55) as his running mate for November 3 presidential election. PTI","Sep 22, 2020
                            ,10:46 AM (IST),4 days ago                            ",Democrats release digital ads in 14 Indian languages to woo South Asian voters in US
"Tribune News Service,Jalandhar, September 19,In a fresh order released by the Jalandhar Municipal Corporation on Friday, NRIs visiting their native places in the district can collect their passports from the MC office on completion of their quarantine.,To curb the spread of Covid-19, the state government had directed all airport authorities in the state to collect passports of people arriving here from foreign countries before sending them for institutional quarantine. They could later collect their passports from the authorities concerned or their district officials. However, it had come to fore that most of the NRIs were unable to receive their passports back.,The Tribune had highlighted the issue concerning a bunch of Dubai returnees in the district who were running from pillar to post to get their passports back.,Subsequently, the MC officials issued helpline numbers and the information about the offices concerned for collecting passports.,MC Joint Commissioner Harcharan Singh said: “Passports of NRIs, who landed at the Amritsar airport, can be collected either from the Deputy Commissioner’s office in Amritsar or from NRI branch. And those NRIs, who landed at the Mohali airport can receive their passports from Civil Secretariat Chandigarh and MC office Jalandhar.”","Sep 20, 2020
                            ,07:41 AM (IST),3 days ago                            ","Now, helpline to assist NRIs in getting passports back"
"Jalandhar, September 18,MC Joint Commissioner Harcharan Singh on Friday informed the NRIs landed at Amritsar, Delhi or Mohali airports that they could collect their passports from the office of Municipal Corporation.,He said special counters were set up at the facilitation center in the MC main building (basement) at Nehru Garden here. The Joint Commissioner said the updated list was being uploaded as public notice on the MC website daily which can be accessed at www.mcjalandhar.in.,“People coming to collect their passport should verify their name in the list beforehand and bring their Covid test negative report along with any receipt of depositing their passport at airport,” he said. — TNS","Sep 19, 2020
                            ,08:06 AM (IST),7 days ago                            ",NRIs from Jalandhar can collect passports at MC office
"UK-based real estate developer Osborne+Co on Tuesday announced the launch of its investment management business to target emerging value-add and development opportunities in the UK and Europe.,Osborne+Co Investment Management (OCIM) said its aim is to become a natural investment partner for globally-focused high net worth individuals (HNWIs), family offices and pension funds in India, north and south-east Asia, Europe and the UK, who are looking for risk-adjusted European real estate exposure. ,Despite the economic headwinds stemming from the COVID-19 pandemic, the OCIM team believes a strong in-house delivery capability offered by sister company Osborne+Co can be uniquely leveraged to generate superior value and returns for its investors.,Rajesh Budhrani, Co-founder and Head of Asia for OCIM, believes that despite the uncertainty surrounding the current market conditions, Asian investors remain keen on foreign direct investment (FDI) into the UK. ,Therefore, India is among the key target markets for the new venture, including plans for an India office in the pipeline for 2021.,“Investors from the Indian sub-continent are very familiar with investing in UK real estate, in particular the residential buy-to-let asset class and second homes. Here, the yields are generally low. We, meanwhile, offer opportunities that can give a higher risk-adjusted return through value-added projects on both residential and commercial sectors,” said Budhrani, a Director with Osborne+Co.,He is joined by Osborne+Co Co-Founder Conor Osborne, and Rishi Khurana, formerly at Sidra Capital, to set up OCIM.,“We have the agility of a dynamic start-up alongside the backing of an established sister company, Osborne+Co. Our investment focus will initially be to target core development and value-add opportunities across the UK and Europe, where we believe we are seeing an emerging disconnect in fundamentals and we anticipate value buying opportunities,” explains Osborne, Co-Founder and Managing Partner of OCIM.,Under the investment strategy, OCIM says it will co-invest with its investor partners to deliver a hands-on and aligned approach focused on driving performance-defined returns, as opposed to a traditional fee-based model.,Rishi Khurana, Co-founder and Managing Partner of OCIM, adds that the focus is on a performance-based model and an entrepreneurial mindset.,“For us, alignment and transparency are key, as we co-invest alongside our partners,” he said. PTI ","Sep 22, 2020
                            ,03:18 PM (IST),4 days ago                            ",UK firm's new arm to offer high net worth Indians value-add investments
"Tanda Urmar: A 32-year-old man of Doburji village was found dead under mysterious circumstances in Baltimore, Maryland (US). The deceased has been identified as Kulwinder Singh, alias Happy.,According to family members, they received information that their son was reportedly found hanging on September 17. Deceased’s father Amrik Singh alleged that his son was murdered. His family members urged the Indian High Commission to probe and asked the Centre to bring back his body.,He had gone to the US around two years ago. OC","Sep 23, 2020
                            ,08:21 AM (IST),3 days ago                            ",Hoshiarpur man found dead under mysterious circumstances in US
"Several Indian students are among over 200 overseas student signatories of a letter delivered to UK Prime Minister Boris Johnson at Downing Street in London on Thursday, seeking justice in the wake of being accused of cheating in a compulsory English language test six years ago.,The scandal, believed to have impacted around 34,000 international students, relates to the Test of English for International Communication (TOEIC), a compulsory requirement in some student visa cases.,Many of the students caught up in the row are Indian and have consistently maintained their innocence and have been lobbying the government for a chance to prove their innocence.,“We were innocent but our visas were refused or revoked and the government gave us no way to defend ourselves. Our futures were destroyed, and we were left to fight a years-long legal battle costing each of us tens of thousands of pounds,” reads the letter.,“We write to you because it is within your power to right this wrong, to put an end to our detention, deportation and humiliation. Allow us to prove our innocence by establishing a free and transparent scheme – independent of the Home Office – through which we can get our cases to be reviewed and clear our names,” they wrote in a direct appeal to Johnson.,The group has been supported in its long-running campaign by Migrant Voice activists and several parliamentarians including Labour Party MP Stephen Timms, Chair of the All-Party Parliamentary Group (APPG) on TOEIC. In the letter to the UK PM this week, they also sought to highlight how their plight has been magnified during the coronavirus pandemic.,“The coronavirus pandemic has made our situation even worse. Our support networks have collapsed, the charities we rely on have been closed, our friends and families are unable to help as they are struggling themselves. We are terrified of catching the virus and being hospitalised, or dying with a black mark still against our names. This is not the future we wanted or worked for,” they write.,Several reports over the years, including by the UK's National Audit Office and House of Commons Public Accounts Committee (PAC), have flagged “flawed” evidence used by the Home Office against the affected students and raised serious doubts over the decision to revoke or refuse tens of thousands of visas.,“These students have been living a nightmare for six years. Stripped of their rights and their futures destroyed, many are destitute and suffering severe mental health problems. There is a mountain of evidence that proves they are victims of a mammoth injustice – and the government can ignore this no longer,” said Nazek Ramadan, Director of Migrant Voice.,The issue dates back to February 2014, when BBC's ‘Panorama' investigation uncovered evidence of organised cheating in two English language test centres run on behalf of the Educational Testing Service (ETS).,This included providing English-speakers to take speaking tests instead of the real candidates and staff reading out multiple choice answers for other tests. The UK Home Office responded vigorously, investigating colleges, test centres and students and cancelled thousands of visas in the wake of the expose.,It has maintained that the courts “consistently” found that the evidence it had at the time was sufficient to take action and that the 2014 investigation into the abuse of English language testing revealed ""systemic cheating"".,Last year, the influential PAC parliamentary body had issued a harsh rebuke of the government's reaction to the scandal.,“The Home Office's pace of response to the issue of cheating has either been ‘full throttle' or ‘too slow', with no middle ground. It has been quick to act on imperfect evidence, but slow in responding to indications that innocent people may have been caught up in its actions,” noted the report titled ‘English Language Tests: A Systemic Failure Affecting Thousands'.,""We are staggered that the Department thinks it is acceptable to have so little regard for the impact its actions might have on innocent people,” it said. ","Sep 24, 2020
                            ,05:17 PM (IST),2 days ago                            ",Indian students appeal to UK PM Boris Johnson in historic English test visa row
