content,time,title
"Actor Anushka Sharma on Friday slammed former Indian cricketer Sunil Gavaskar for his ""distasteful"" remark about her while commenting on husband Virat Kohli's performance in the ongoing Indian Premier League (IPL).,Gavaskar found himself in the midst of a controversy for making an unsavoury comment against Kohli and Sharma after the Indian captain's forgettable outing in the IPL match, held in Dubai.,Anushka, who has faced negativity and trolling in the past as well for Kohli's performance, said she was tired of being dragged into cricket.,""It's 2020 and things still don't change for me. When will I stop getting dragged into cricket and stop being used to pass sweeping statements?"" the actor said in a long statement posted on her Instagram Stories.,Gavaskar was a part of the commentary team as Virat Kohli-led Royal Challengers Bangalore lost to Kings XI Punjab on Thursday night and the Indian captain did not do well in the match.,Referring to a video of Kohli and Sharma playing cricket during the country's coronavirus lockdown, Gavaskar, in the commentary box had said: ""Inhone lockdown me toh bas Anushka ki gendon ki practice ki hai, (he has only faced Anushka's bowling in lockdown)"".,In her statement, 32-year-old actor, who has accompanied Kohli in Dubai, asked for an explanation from Gavaskar for his comments.,""That, Mr Gavaskar, your message is distasteful is a fact but I would love for you to explain why you thought of making such a sweeping statement on a wife accusing her for her husband's game?,""I'm sure over the years you have respected the private lives of every cricketer while commenting on the game. Don't you think you should have equal amount of respect for me and us?,"" Sharma said.,The actor in her concluding note, said, ""Respected Mr Gavaskar, you are a legend whose name stands tall in this gentleman's game. Just I want to tell you what I felt when I heard you say this."" In the past as well, Sharma has reacted sharply to her name being dragged into cricket.,In October last year, she had shut down reports that claimed that selectors were asked to serve her tea during ICC World Cup 2019.,“I have stayed quiet through all the times I was blamed for the performance of my then boyfriend, now husband Virat and continue to take the blame for the most baseless things involving Indian cricket. I kept quiet then,” she had written.,“Today. I have decided to speak up because someone's silence cannot be taken as their weakness,"" she had said at the time. ","Sep 25, 2020
                            ,02:36 PM (IST),3 mins ago                            ",'Distasteful': Anushka Sharma snaps at Sunil Gavaskar for 'sexist remark' at husband Virat Kohli's IPL game
"Sometimes all you can do is pray. So, for nearly two months, his admirers, well-wishers and industry friends prayed for his recovery. But Covid finally claimed the versatile singer SP Balasubhrahmanyam.,SPB was not just a phenomenon but an institution. With more than 40,000 songs under his belt, 20 recorded in Kannada in a single day alone, his discography runs like a book of records.,A powerhouse in the south with a host of laurels and achievements, including the National Award for the Telugu film ‘Sankarabharanam’ to his name, the rest of India woke up to his voice in 1981 with Kamal Haasan-starrer ‘Ek Duuje Ke Liye’ for which he won the National Award for the Best Male Playback singer for the song ‘Tere mere beech main’.,Also read: ,Composer Laxmikant may have been hesitant while signing him for ‘Ek Duuje Ke Liye’, but the Hindi film industry welcomed him more than once. His inimitable singing prowess resonated in Salman Khan’s ‘Maine Pyar Kiya’ and continued to do so in many of his other films. If in Tamil film industry his creative partnership with music maestro Ilaiyaraaja firmed up his position, in Hindi films he became the voice of Salman. With duets like ‘Didi tera devar diwana’, his popularity soared.,For someone who knew AR Rahman as a toddler, he would go on to sing in his ‘Roja’ too. Bollywood, from which he took a 15-year-long hiatus, saw him return with Shah Rukh Khan’s ‘Chennai Express’.,Born on June 4, 1946, in Konetampet in Tamil Nadu, music was in his blood as father SP Sambamurthy was a musician and exponent of ‘Harikatha’. Balu as he was lovingly called was blessed with a soft melodious voice. From an amateur singer who caught the attention of late film music composer SP Kodandapani and was given an opportunity to sing in the 1966 Telugu film, ‘Sri Sri Maryada Ramanna’ he transformed into a legend.,Besides receiving six National Awards, he went on to win various honours such as Padma Bhushan. Yet he remained grounded and humility defined his persona. His knowledge of his art deepened with each new song. As he said in an interview to a national daily, “I know what I don’t know,” the realisation that one can never fully plumb all the depths of music made him strive for perfection.,Though best known for his ability to lend emotional feel to his songs, he elevated even regular numbers to another level. He captured the emotions of lyrics effortlessly and had a flair for languages. If his first song was in Telugu, the very next was in Kannada and he had the distinction of singing in Telugu, Tamil, Kannada, Malayalam, Hindi, Tulu, Oriya, Assamese, Badaga, Sanskrit, English, Konkani, Bengali and Marathi.,Besides, the singer-actor stepped up to be a dubbing artiste and even dubbed for Kamal Haasan in Telugu films. He played character roles in 45 films and believed that every singer is an actor. The crux, he felt, was whether you could transition from acting before the microphone to doing so in front of the camera. In a career spanning five decades, music remained his first love and his songs invariably rang true.,Belonging to an era when listeners could easily identify the singer because of his USP, his is a voice that will echo forever. And those desirous of ‘Tum se milne ki tamanna hai’ will forever feel the void he has left.","Sep 25, 2020
                            ,04:03 PM (IST),3 mins ago                            ","SPB no more, but his melodious voice will echo forever"
"Princess Eugenie and her husband, Jack Brooksbank, are expecting a child next year, Buckingham Palace said Friday.,In a tweet from the royal family's account, the palace said it is “very pleased'' to announce that the couple is expecting a baby in early 2021.,The tweet says “The Duke of York and Sarah, Duchess of York, Mr. and Mrs. George Brooksbank, The Queen and The Duke of Edinburgh are delighted with the news.”  ,👶 Her Royal Highness Princess Eugenie and Mr Jack Brooksbank are very pleased to announce that they are expecting a baby in early 2021.,.,The Duke of York and Sarah, Duchess of York, Mr and Mrs George Brooksbank, The Queen and The Duke of Edinburgh are delighted with the news. ,Eugenie married Brooksbank two years ago in a star-studded royal wedding at St George's Chapel on the grounds of Windsor Castle.,Eugenie, 30, the queen's granddaughter, is 10th in line to the throne. —AP","Sep 25, 2020
                            ,03:34 PM (IST),3 mins ago                            ","Princess Eugenie, Jack Brooksbank, expecting first child"
"Prominent names from Indian film industry such as veteran singer Lata Mangeshkar, music composer AR Rahman, actors Salman Khan, Akshay Kumar, Anil Kapoor and Ramaya Krishnan, paid tributes to legendary singer SP Balasubrahmanyam and remembered his contribution in the field of music.,The 74-year old veteran singer, popularly known as SPB, died on Friday after an over two months-long battle with coronavirus.,The singer breathed his last at around 1.04 pm, his son and filmmaker S P Charan told reporters.,Heartbroken to hear about , sir... you will forever live on in your undisputed legacy of music! condolence to the family ,Balasubrahmanyam, who captivated millions of hearts by his supreme singing talent for over five decades, was admitted to the MGM Healthcare here on August 5 after testing positive for COVID-19.,Hailing Balasubrahmanyam as a ""brilliant singer"" and a ""kind human being"", Mangeshkar reminiscenced working with him.,""I'm very disturbed by the demise of SP Balasubrahmanyam. We have recorded many song together and did a lot shows. My condolences to his family,"" the veteran singer wrote.,Rahman shared his photo with Balasubrahmanyam and simply posted, ""#ripspb ...Devastated"" Balasubrahmanyam's voice played a huge role in establishing Khan as a romantic hero in the 1990s with songs ""Mere rang main"", ""Pehla pehla pyaar hai"", ""Mausam ka jaddu"", and ""Hum aapke hain koun"" among others. ,Khan, who on Thursday wished the legendary singer a speedy recovery, said he was heartbroken by the news of his demise. ,""Heartbroken to hear about #SPBalasubrahmanyam sir... you will forever live on in your undisputed legacy of music! condolence to the family #RIP,"" he tweeted. ,Kapoor remembered the musician as ""great human being"" and ""an incredible singer"" and said that he will be ""missed truly"".,""Lucky to have had him dub for me... Give his voice to my performances in my first Telugu and Kannada film... SP Balasubrahmanyam will be missed truly...my heartfelt condolences & prayers to the family..."" he added.,Kumar said he is ""deeply saddened"" by the news of Balasubrahmanyam's death., ...Devastated ,""Just a few months back I'd interacted with him during a virtual concert in this lockdown..he seemed hale, hearty & his usual legendary self...life is truly unpredictable. My thoughts & prayers with his family,"" he wrote.,""Baahubali"" star Krishnan tweeted, ""Someone so special can never be forgotten, may his soul rest in peace my deepest condolences to the family....#ripspb sir"" Filmmakers Madhur Bhandarkar, Bejoy Nambiar and Sujoy Ghosh also offered their condolences.,""Extremely saddened on hearing the demise of the Veteran Prolific Versatile Singer #SPBalasubramaniam Sir, who redefined singing. My deepest condolences to his family members & millions of admirers globally. #OmShanti"" Bhandarkar tweeted.,Nambiar said Balasubrahmanyam's legacy will live on through his music. ""Rest In Peace SPB Sir,"" he added.,Ghosh wrote, ""A true legend. Nothing but respect for S P Balasubrahmanyam."" Aditi Rao Hydari said Balasubrahmanyam will forever remain ""the voice of eternal love"". ""My condolences and prayers to the family and fans..."" she added.,The health condition of the singer, who was admitted to the hospital with mild symptoms, deteriorated for the first time on August 13 after which he was put on life support and moved to the Intensive Care Unit.,On August 19, he was put on ECMO (Extracorporeal membrane oxygenation)besides ventilator and a day after, when he remained critical, people from all walks of life, including celebrities and the general public, came together to pray for his early recovery.,On Thursday, he was put on ventilator and ECMO after his condition deteriorated. PTI ","Sep 25, 2020
                            ,03:48 PM (IST),3 mins ago                            ","Lata Mangeshkar, AR Rahman, Salman Khan mourn SP Balasubrahmanyam's demise"
"The Narcotics Control Bureau (NCB) on Friday said that it has not got any request from Bollywood actor Deepika Padukone's husband Ranveer Singh to join the probe along with his wife on Saturday in a drugs related case.,An NCB official, requesting anonymity said that it has not received any request from Singh.,He said, ""We confirm that we have not received any such request from any summoned person. The last email received from the concerned summoned person is only regarding joining the investigation."",Deepika was summoned on Wednesday by the NCB to appear before the drug law enforcement agency in a drugs related case after her alleged chats with her former manager Karishma Prakash came to light.,Deepika was earlier asked to join the probe on Friday, however, on her request the agency asked her to depose before it on Saturday.,An NCB source said that Deepika will be questioned if she consumed drugs. If yes she will be asked since when and from where she used to procure the drugs for her consumption. How did she make the payment for the drugs, who all along with her consumed the drugs, whether the drugs were meant for her consumption alone or also for others, the source added.,Following the summons Deepika, who was shooting in Goa for her upcoming film, travelled back to Mumbai late in the evening accompanied by her husband by a chartered flight.,In the alleged chats, the actor was asking her manager if she has ""maal"" weed and not hash. The alleged chats date back to October 28, 2017 between Karishma and Deepika in a group, where late actor Sushant Singh Rajput's former talent manager Jaya Saha was also a group member.,Besides, Deepika, actors Shraddha Kapoor and Sara Ali Khan will also be questioned by the NCB on Saturday.,Earlier in the day, the NCB recorded the statement of Bollywood actor Rakul Preet Singh who was questioned for over 4 hours, while Dharma Productions executive producer Kshitij Ravi Prasad and Deepika's former manager Karishma were also questioned for several hours.,The NCB has already arrested Sushant's girlfriend Rhea Chakraborty and her brother Showik along with 18 others in the drugs case.,The NCB registered the case on the basis of the Enforcement Directorate probing the money laundering charges in Sushant's death case after it recovered several alleged chats related to drug consumption and procurement. ","Sep 25, 2020
                            ,04:20 PM (IST),3 mins ago                            ",No request from Ranveer Singh to join Deepika Padukone during questioning by NCB
"Veteran poet, lyricist and screenwriter Javed Akhtar on Friday took a jibe at news television channels that have been highlighting a house party organised by Karan Johar last year. A video of the party has gone viral on social media.,Akhtar tweeted from his verified account, noting how television channels were more concerned about Johar's house party of last year instead of talking about the controversial farm Bills passed recently by Parliament.,""If Karan johar had invited some farmers too for his party, life would have been easier for our TV channels. They would not have had to choose between farmers protest and Karan's party! It seems that Karan's do is the second most favourite PARTY of our channels,"" Akhtar tweeted.,Celebrities spotted at the party, as spotted in the video, include Bollywood stars Deepika Padukone, Ranbir Kapoor, Vicky Kaushal, Shahid Kapoor, Varun Dhawan, Malaika Arora, and Arjun Kapoor, besides filmmakers Zoya Akhtar and Ayan Mukerji.,If Karan johar had invited some farmers too for his party life would have been easier for our TV channels.They would not have had to choose between farmers protest and Karan’s party!. it seems that Karan’s do is the second most favourite PARTY of our channels,It is being speculated that the celebrities seen in the old house party video were high on drugs.,The video, which surfaced for the first time last year, has resurfaced on news channels after the Narcotics Control Bureau (NCB) started summoning Bollywood celebrities including Deepika Padukone and her ex-manager Karishma Prakash for questioning for alleged drug links.,Others who have been on the NCB radar are actresses Sara Ali Khan, Rakul Preet Singh and Shraddha Kapoor. ","Sep 25, 2020
                            ,08:20 PM (IST),3 mins ago                            ",Javed Akhtar takes a jibe at news channels for ignoring farmers' protests: ‘If Karan Johar had invited some farmers to his party…'
"Actor Arjun Rampal, who is in home quarantine after his co-actors from ""Nail Polish"" tested positive for COVID-19, on Friday said that the result of his test has come out negative.,The 47-year-old actor had revealed on Thursday that the shooting of the ZEE5 film was stopped with immediate effect after his co-stars Manav Kaul and Anand Tiwari contracted the novel disease.,Taking to Twitter, Rampal said that he will be undergoing another test after four days on the advice of his doctors.,""Good news, I am Covid negative. Have to retest in 4 days according to medical experts as I have been in direct contact with active Covid cases. Thank you all for your love, support and prayers,"" he wrote.,Good news, I am Covid negative. Have to retest in 4 days according to medical experts as I have been in direct contact with active Covid cases. Thank you all for your love, support and prayers 🙏🏽,Directed by Bugs Bhargava Krishna, ""Nail Polish"" went on floors on September 15. The film will be released on ZEE5.,On Thursday, Mumbai's COVID-19 tally rose to 1,92,427 with 54 fresh deaths taking the toll to 8,658. ","Sep 25, 2020
                            ,02:12 PM (IST),3 mins ago                            ","Arjun Rampal tests negative for COVID-19, will have to retest in 4 days"
"The probe into drugs angle of the Rajput death case led the bureau to the discovery of several ""linkages"" or drug supply networks, he said.,The NCB is probing the drugs case related to Rajput's death as well as an alleged nexus between Bollywood and drug peddlers.,Showik Chakraborty's name came up during the interrogation of alleged drug peddler Basit Parihar, a resident of suburban Bandra, the official said.,Parihar allegedly revealed that he used to procure `bud' (a curated form of marijuana) and weed for his friend Showik.,During questioning, Showik accepted that he used to procure weed and bud through Parihar and Kaizan Ebrahim and pass them to his sister Rhea who gave it to Sushant, the official said.,Rajput's manager Samuel Miranda and cook Dipesh Sawant used to collect the contraband and make `joints' (marijuana cigarettes) for the deceased actor, he claimed.,The starting point of the entire probe was some WhatsApp chats about drugs that the Enforcement Directorate came across in its money laundering probe against Rhea and her family. The ED informed the NCB about these conversations.,""Based on network analysis undertaken on technical level, the linkages were explored and one of the nodes of the drugs network was busted on the intervening night of August 27 and 28,"" the official said.,Abbas Lakhani and Karn Arora were arrested during this raid and bud were seized from their possession, he said.,It led the NCB to Zaid Vilatra, who runs an eatery in Bandra. Zaid was held and Rs 9.55 lakh, USD 2,081, 180 British Pounds and 15 Dirhams were recovered from his possession, the official said.,Zaid allegedly disclosed that these were proceeds of drug peddling. He also said that his eatery business suffered greatly during lockdown, so he took to peddling drugs, mainly bud.,It was his interrogation which led the NCB to Basit Parihar, the official said.,Kaizan Ebrahim's questioning led the bureau to Anuj Keshwani, his alleged drug supplier. From Keshwani's house in Bandra, 585 gm of charas, 270 gm for ganja and small quantities of THC and LSD were also seized along with Rs 1.85 lakh in cash.,Following his arrest, ""Karanjeet, Fernandis, Gupta, Aftaab Mohammad, Ankush and Sanket"" were apprehended, the official said.,Rhea and Showik are now in judicial custody alongwith other arrested accused.,The NCB has so far recorded statements of Bollywood talent manager Jaya Saha, Rajput's former manager Shruti Modi, producer Madhu Mantenna, fashion designer Simone Khambatta actor Rakul Preet Singh and actor Deepika Padukone's manager Karishma Prakash. ","Sep 25, 2020
                            ,05:14 PM (IST),3 mins ago                            ",Rhea Chakraborty procured drugs for Sushant Singh Rajput through her brother Showik: NCB
,"Sep 26, 2020
                            ,08:26 AM (IST),10 hours ago                            ","Indian series, including Delhi Crime and Four More Shots Please, bag nominations at the International Emmy Awards 2020"
"The official Instagram account of Taarak Mehta Ka Ooltah Chashmah has posts from the actors where they have expressed their happiness about 3,000-episode milestone. Director of the show Malav Rajda posted a picture on Instagram and wrote, “Really proud and happy to be associated with this show....it’s been an amazing journey so far....next target 5,000 Happysodes?”","Sep 26, 2020
                            ,08:26 AM (IST),10 hours ago                            ","Taarak Mehta Ka Ooltah Chashmah completes 3,000 episodes"
