content,time,title
"Charanjit Singh Teja,Tribune News Service,Amritsar, September 9,With 25 publishers abounding the Bazaar Mai Sewan, it was considered once the world’s largest setting of Punjabi (Gurmukhi) books. But as of now, all glory has been lost in the mists of time.,The original area starting from Darshni Deorhi to Chowk Ghanta Ghar, which was more than 200ft, has been reduced. Several historic buildings, including Udasi Akhara, Sangal Wala Akhara, Gianian Wala Bunga and Hathi Khanna dotting the bazaar are all gone.,Meanwhile, a big chunk of the history was demolished by the government for the construction of Galiara around the Golden Temple in 1988. Most of the book sellers and publishers were moved to other markers, while many left the business. Today, you could say the market is totally no-nostalgia-evoking, unrecognisable remnant of its past grandeur. Only shops of drafting materials, hotels and religious symbols can be seen. A scanty of booksellers is the only reminder.,During the much-condemned attack of the Indian Army on Akal Takht in 1984, a number of shops were reduced to ashes. Come 1988, the government’s decision of Galiara at the expense of market left many sellers in turmoil. Many were displaced.,Narinderpal Singh, owner of Mehar Singh and sons, laments: “They didn’t care about its legacy during the Galiara’s construction. The business of books is perfect, but the new generations of the publishers are not adopting it. Religious literature is high in demand. We are sitting at the heart of Sikh world and customers from all over the world visit us. The government ruined our market.”,Gursagar Singh, owner of Singh brothers, recalls: “There was a great time of the market, when it was the hub of the Punjabi literature. The business is good, but owing to scenarios several prominent publishers have switched to other occupation.”,Balwinder Singh, former Head of the Guru Ramdas School of Planning at Guru Nanak Dev University, sai: “I have submitted a thesis for MPhil on Bazaar Mai Sewan to my guide BS Brar. Once, it was world’s largest market of Gurmukhi books. Now, it’s almost ruined; the market witnessed huge changes during the 20th Century.”,With the emergence of Gurumukhi printing press, a large number of these were established in Lahore and Amritsar. The first Punjabi printing press (using Gurmukhi font) was established through a Christian mission in Ludhiana in 1835. Eminent Punjabi writer Bhai Vir Singh established Wazir Hind Press in the city in 1899. During the 1980s, Lahore became a hub of Gurmukhi printing presses publishing religious text and Qissas.,Meanwhile, Amritsar emerged as the main market of religious and Gurmukhi literature. During the early 20th Century, a large number of publishers settled in the Bazaar Mai Sewan and established their machines. Famous Qissakar (story writer) Kishan Singh Arif (1836-1904), whose father Narain Singh was a publisher and bookseller in the same bazaar, published Qissa Shirin Farhad, Puran Bhagat, Raja Bharthari, Raja Rasaloo, Dulla Bhatti and Kalianwali Heer.,A number of publishers, including Mehar Singh and Sons, Buta Singh-Partap Singh, Chattar Singh-Jewan Singh, Singh Brothers, Khalsa Brothers, Jawahar Singh-Kirpal Singh, Uttam Singh-Gurmukh Singh, Ameer Bhandar, Kastoori Lal and Sons, Munshi Chirag Deen, Bhai Fakeer Singh and sons and Ladha Singh-Kartar Singh among others had established their presses later on and published religious literature.,The Bazaar Mai Sewan started early in the Ranjit Singh era (1780-1839). It was Maharaja Ranjit Singh, who dedicated this bazaar to a lady named Mai Sewan. She was the wife of a military commander Fateh Singh Kaaliawaala. Mai Sewan was known for her dedicated services at the Durbar Sahib and was one of the most respected figures among the locals. Interestingly, a myth also runs parallel to the belief. It is said that it belongs to Mai Sewan, a devotee of the third Sikh Guru — Amardas ji. Once, she expressed her desire of wanting her name to live forever to the master. The Guru is said to have complied with the demand. When fifth Guru Arjan Dev developed the city and allotted land to the settlers, a bazaar leading to Guru Ke Mehal (residence of Guru) was dedicated to Mai Sewan.","Sep 10, 2020
                            ,07:42 AM (IST),16 days ago                            ",Amritsar's Bazaar Mai Sewan evokes a forlorn tale of lost grandeur
"The Panorama, a visual depiction of the important stages of the Maharaja was set up in 2006 at a cost of Rs5 crore by the then Chief Minister Parkash Sigh Badal with his personal interest. A two-storeyed circular building features paintings depicting the six major battles of the Mahraja. It is accompanied by a multimedia representation of the sights and sounds of war.,: The fort of Attock traditionally regarded as the sentinel of India on the border with Afghanistan, was recaptured in 1813 from Wazir Fateh Khan and his army marking the liberation of Northern India from Afghans. The battle was won under the overall command of Ranjit Singh with Diwan Mokham Chand in operation accompanied by Hari Singh Nalwa, Mian Gausha and Sardar Dal Singh with a strong Punjabi force.,Maharaja Ranjit Singh was a great general, who wanted to modernise his army after seeing the superiority of the British troops. He inducted several Europeans to facilitate this. JF Allard and JB Venture, the two French officers, who were inducted by Maharaja Ranjit Singh for modernising his army, had served Napoleon in his campaigns. In the painting, they are seen inspecting an organised infantry on the one side and cavalry on the other. All personnel are in right army outfit. Many of them are carrying long arm guns.","Sep 11, 2020
                            ,07:41 AM (IST),14 days ago                            ",Experience the legacy of Sher-e-Punjab Maharaja Ranjit Singh
this royal Gate No. 1.,"Sep 22, 2020
                            ,07:46 AM (IST),4 days ago                            ",Khalsa College Amritsar:  A heritage marvel
"With the festive season ringing in, styling the furniture is one of the easiest ways to add sparkle and festive zing to your home. Here are some tips and tricks to do up your centre and dining table:,Natural finish,Go for natural and eco-friendly accessories. Experiment with a crochet or kantha table cloth or even one reimagined through an old sari, table mats of natural materials like bamboo, handloom or even plantain leaves. Locally sourced flowers like mogra, marigold and champa, accompanied by candles and table runners, are a great idea. Place different potted succulents in a galvanised tray for visual impact. “For a large table, place foraged flowers and branches in a vase for effect. Fresh evergreen boughs and pinecones are a classic decor. For outdoors, beautify the table with a sculptural piece of driftwood,” says Hemil Parikh of Elysium Abodes LLP.,Style cues,It is time to take out the silver. Polish it and let it speak for you at your centre table. “Place large pieces of silverware inwards and the medium-size ones in their periphery. Set the dining table with mats, quarter plates, dining plates and cutlery from left to right. Place napkins with rings on the plates. You may like to place a flower on each plate,” says Vandana Sarawgi of SR Artefacts.,Opt for décor elements in contrasting colours. For instance, if your table is dark brown or black, go for décor items in gold or brass. For tables in white wood, choose elements in bold hues like red, yellow or blue. For a traditional dark wood dining table, choose a long maroon ikkat print table runner and adorn it with brass décor elements. For a contemporary dining table in light brown wood or white wood, opt for a short table runner in pastel colours.,Do it yourself,Get creative. Place small aromatic candles in mason jars and embellish the jars with macramé covers for warm, cozy vibes. “Fill a transparent vase with sticks or branches dipped in peppy colours. Wrap these sticks with string lights to add radiance to the space. If you have extra ceramic mugs, paint these in bright colours and intriguing designs to create statement décor pieces. Bring out empty wine or champagne bottles and splash some vibrant colours on them with a toothbrush,” suggests Saloni Khosla of Pepperfry. ","Sep 13, 2020
                            ,08:10 AM (IST),12 days ago                            ",Give add a festive zing to your tables
"Jagvir Goyal,Many apartments often don’t provide wire mesh shutters on doorways and windows. A look at why these are so important:,Weatherwise: Unlike independent houses, doorways to balconies in apartments are mostly provided with uPVC or aluminium panels with part-fixed glazing and part-sliding glazed shutters to step into the balcony. No wire mesh shutters are, generally, provided in the openable part which is highly desirable during summers.,Post-construction: Wire mesh shutters can be provided to the existing glazed windows without much fuss. Their provision demands addition of a new frame abutting the existing frame on the outer side of existing frame and inducting a prefabricated wire mesh shutter into it.,Material: In case of uPVC (un-plasticised poly vinyl chloride) windows, the supplier will check the sizes and bring factory-made windows for their provision at site. The aluminium frame consists of heavy powder-coated aluminium section. The frame sections, cut to size, are brought to site, screwed together and fitted in position by driving 5 inch screws through them into the walls. The wire mesh shutter has a 2.5 to 3 inch wide frame with galvanised wire mesh of 22 x 12 mesh tightly fixed in it.,Central support: It should be ensured that in wire mesh shutters, a horizontal central aluminium piece is provided to break the large-sized wire mesh panel for support. Else it’ll loosen after some time.,Smooth sliding, no play: Smooth sliding of wire mesh shutters should be repeatedly checked. These should run effortlessly. For this, brush lining is provided inside the sliding groove at top and bottom of shutter. Ensure that wire mesh shutter doesn’t interfere with the glass shutter or fixed glazed portion.,Locking arrangement: Wire mesh shutters should be provided with flush handles with locking arrangement like glazed-sliding shutters. Apartment dwellers can slide back the glass shutter with wire mesh shutters in locked position at night to allow fresh air inside, and yet feel secure.,Cost factor: The carpenter will take measurements, discuss material specifications and quote his rate of fabrication and site provision to you on per square feet basis. Normally, for a 3 BHK or 4 BHK apartment, provision of such additional shutters to all windows should cost around Rs50,000.","Sep 13, 2020
                            ,08:10 AM (IST),13 days ago                            ",Get those wire mesh shutters
"Designers do not have a décor guide or rule book when it comes to decorating spaces. The design of each space is dealt with individually while honouring the context of the site and working in lines with the functional and aesthetical requirements. Having said that it is the designer touch which makes any dull and dated room turn into a welcoming and timeless interior volume. Herewith are some tips and tricks on how you can have your own Instagram-worthy living room, dining room, bedroom, kid’s room and more.,Living room: Find the focal point,The key to good design lies in a composed layout and proper layering of all elements of space. To get the décor of your living room right, look for potential areas where focal points can be achieved. A gallery of family photos or a huge artwork on the wall could take the décor of the room to a new level. Consider reupholstering the furniture and adding playful patterned cushions and a throw for a multi-layered, yet refined, appeal. Add an area rug, one that nods to the colour scheme of the upholstery and cushions. Top the space with table accessories or vases. Finally, introduce suitable indoor plants in pots and planters to enliven the setup. If you do not have a green thumb, dried flowers and potpourri could be the right fix.,Dining area: Try multiple patterns,The palette of the living room can act as a fair starting point to decorate the dining room since both the spaces ideally lie together in the home. The dining room is the right place to experiment with patterns, accessories and lighting. You can try accenting the space with multiples patterns in a similar colour or tone, creating an interesting tablescape with décor pieces of the same make, or bringing in a statement pendant light to crown the dining area. If the space and interior theme permits, you can install a coffee station or a bar trolley to effectuate a high-end allure to the space.,Bedroom: Create an intriguing backdrop,To amp up the décor of the bedroom and pull off a chic and relaxing aura, use the walls to create an intriguing backdrop. Paintings, floating shelves, mirrors, wall sconces can aid in building beautiful vignettes, while maintaining the style quotient of the room. Apart from that, you can invest in a colourful tapestry, rug or curtains to add warmth and personality to the space.,Kid’s bedroom: Punch in a dash of colour,An easy trick to design a lasting kids room is to pick up gender-neutral colours (like green, grey, beige, black and white) for the furnishing and built-in units. Blinds, bedcover, carpet, wall hangings, banners, etc. can be used to punch in a dash of colour to the room. Your child may also love unique additions like a teepee, a gallery wall full of his/her own drawings, a chalkboard wall, hanging fairy lights, etc.,Staircase: Install an engaging runner,A surefire way to build up the decor of the staircase area or stairwell is to install an engaging runner or add enhancements (like acrylic sheets, stick-on wallpapers) to the risers. The under-stair area and landing zones are a great place to place planters and figurines. If there is enough space, employ a couple of chairs or ottomans to tailor an intimate reading corner. Station a dramatic lighting fixture on the stairwell ceiling or wall to bring vertical interest. Wall hangings and wall art, too, can be situated as an instant solution too.","Sep 13, 2020
                            ,08:10 AM (IST),13 days ago                            ",Lend that designer touch to your interiors
"Pooja Khanna Tyagi,A Basement renovation provides a wonderful opportunity to create extra space and incorporate some fun areas like a bar, den, home theatre or a gaming room. With careful planning, good lighting, proper selection of material and trendy decor ideas, one can transform the basement into a stunning space. Here are six things to consider if you plan to go for a full-fledged basement renovation.,Waterproof the basement,The first step is to check the basement for any leaks or dampness which can result in the growth of mould. If there are any sources of water penetration like cracks or leakages from the building pipelines, these should be rectified immediately.,Ensure good ventilation,Since there are fewer windows within the basement, one must ensure proper ventilation by incorporating exhaust fans. This is the best way to extract moist air from the basement and replace it with fresh air.,Create an elegant staircase,Design the staircase as an accent feature. Convert this area into a focal point by incorporating a floating staircase, use different material or colours to differentiate between the treads and the risers, install statement lights, go for built-in storage under the stair soffit and so on. Make sure that all window openings in the basement are big enough for one to climb out in case of a fire emergency if the staircase is inaccessible.,Go for a stylish decor,If you plan to use the basement as a bar or a gaming space, go for an open plan design with minimum walls. This will give the basement an airy look. Incorporate backlighting, contrasting colours, statement pieces of furniture, wall art, modern carpets and plush fabrics. Keep in mind that you cannot incorporate a bathroom in the basement as it is not permitted as per building bylaws. Alternately, create an audio-visual room by installing a screen, set of speakers, amplifiers, acoustic panels on the walls and ceiling, mood lighting and comfortable recliner chairs that combine together to create a stunning decor. Create a clutter-free and well-organised space by wall mounting the television and speakers.,Adequate lighting,Good lighting is a great way to enhance the overall look of the decor. Since most basements have limited access to natural light, it is essential to incorporate sufficient lighting with artificial lights. This can be achieved by creating a layered lighting scheme with a combination of ambient, task and accent lighting that makes the place warm and inviting.,Select sturdy material,Since most basements are prone to dampness, it is highly recommended to go for material that is maintenance free and won’t decay or disintegrate in the presence of moisture. Opt for sturdy materials like porcelain tiles, natural stone and moisture-resistant (MR) plywood. Avoid flooring material like laminated wood because it can swell and get damaged if there’s any moisture.","Sep 13, 2020
                            ,08:10 AM (IST),13 days ago                            ",Transform your basement
"Tribune News Service,Amritsar, September 11,The Partition Museum has remained shut since lockdown was announced in March this year, but it has opened its virtual space for visitors who want to sneak a peek into the pages of history. The one-of-its kind museum in the world has been running several educational programmes since its inception and its archives had only been accessed through visits to the heritage place, until the pandemic stuck. Its virtual galleries and tours have made an attempt to find audience across the globe amid restrictions.,The museum had recently hosted first online art exhibition in collaboration with Art Alive Gallery, New Delhi. It showcased 26 exclusive works by 16 eminent and upcoming artists of India. The exhibition was received well and it featured several prominent artists from the time when partition happened.,Rajwinder Kaur, curator of the museum, said they had been receiving a great response from visitors on their online platforms, accessing their virtual archives and gallery. “We have been consistently uploading significant audio-visual archives on our Facebook and Instagram pages. We share links to access the virtual tours, specifically curated to focus on individual event or otherwise,” she said. Most of the links to these virtual tours or access to archives is specific in nature and is free for all. The visitors can access its oral history library and artefacts and art work through its official website. It also has videos of eyewitnesses’ accounts.,As a long term measure, the museum is also creating a permanent virtual gallery, work on which is under progress, that will have archived images from Partition, train massacre stories, videos, arts, paintings, real oral accounts of eyewitnesses and survivors.","Sep 12, 2020
                            ,07:04 AM (IST),14 days ago                            ",Partition Museum curates online events to allow visitors to sneak a peek into the pages of history
"From the deserted corridors of power to railway stations and mortuaries, from popular haunts to hospitals fighting an unseen virus, from the destitute to the gurdwaras that worked overtime to feed them, she has documented all in what is now a book, ‘Dialects of Silence’, by Roli.,Captured in black and white, time seemed to have come to a halt for some, yet it slipped by from the hands of others like the young widow reading the Fatiah before her husband’s freshly dug grave and migrant families left to fend for themselves under flyovers and makeshift shelters. As Delhi faced the virus’ fury, doctors clocked in 18-hour shifts, seven days a week. Sharma captured them in animated discussions, the struggle for life in neonatal wards, the dead at mortuaries and crematoriums, but no one to mourn them...,In the foreward to the book, art historian BN Goswamy says the photos have the power to embed themselves in our minds, to creep up on us. “There is, in Parul Sharma’s clear-eyed work, so much sharpness. And so much heart.”","Sep 13, 2020
                            ,08:10 AM (IST),13 days ago                            ",Photographer Parul Sharma’s ode to the pandemic-hit Delhi ‘Dialects of Silence’
"KHARIF harvesting operations are going to begin soon. Agricultural production is likely to surpass last year’s record production by 7-8%. The higher production inevitably puts downward pressure on market prices. The problem of low harvest prices has been compounded by the steep fall in the GDP growth rate in the first quarter of 2020-21; it will reduce overall demand for the agricultural produce. Hence, ensuring the Minimum Support Price (MSP) for farmers is a gigantic task.,There are huge imbalances in the MSP operations. Various states have diverse levels of implementation capabilities. Punjab and Haryana are historically in a better position to procure at the MSP than states like Bihar and Odisha. Paddy farmers in Punjab are able to sell at the MSP, while farmers in Bihar have to settle for prices below the MSP. The focus is on paddy and wheat, with negligible procurement of pulses, oilseeds and other crops at the MSP.,This discriminatory policy blocked crop diversification towards pulses and oilseeds and also led to the neglect of rain-fed areas, where pulses and oilseeds are grown. This resulted in a huge shortage of crops like oilseeds. India is importing 70% of domestic consumption of edible oils each year by spending about Rs 75,000 crore on foreign exchange. It is incurring huge losses in storing excessive stocks of paddy and wheat procured under the price support scheme.,Procuring excessive stocks is a waste of resources. Procurement operations are flawed in many ways — lack of awareness among farmers; lack of working capital with procurement agencies; lack of gunny bags; delayed payments to farmers; inadequate logistical arrangements like godowns, processing mills in the procuring areas; disposal of procured stocks.,NITI Aayog recently recommended to the Food Ministry to limit procurement of foodgrains to the level needed for distribution under social welfare schemes and maintenance of buffer. The FCI procured 115 million metric tonnes (MT) of foodgrains in crop year 2020, whereas the maximum buffer stock is fixed at 41.12 million MT.,To overcome these problems in foodgrain operations, the Centre introduced PM-AASHA (Pradhan Mantri Annadata Aay Sanrakshan Abhiyan) in 2018. This is in line with the broader objective of gradually replacing physical procurement with direct money transfer to farmers, wherever required. PM-AASHA has three sub-schemes: Price Support Scheme (PSS), Price Deficiency Payment Scheme (PDPS) and Private Procurement & Stockist Scheme (PPSS).,The PSS involves procurement by the government agency at the MSP from the farmers during the harvest period; it has been in operation for paddy and wheat for the past four decades. Under PM-AASHA, PSS is now broad-based to cover pulses, oilseeds and copra in addition to paddy and wheat. Under this scheme, the Centre will compensate the states for any losses in procurement operations up to 25 per cent of production.,Under the PDPS, farmers are paid the difference between the MSP and the modal price, without actual procurement. It is a more market-friendly and efficient method as it eliminates the logistic costs faced under PSS. It is more practical to implement in crops like pulses and oilseeds with scattered and thinly distributed production, where actual procurement is costly and not feasible.,Under the PPSS, private players can procure oilseeds at the MSP during the notified period in select markets, for which they would be paid a service charge not exceeding 15 per cent of the MSP. However, private participation has been limited so far.,States are free to choose between the sub-schemes, depending on local conditions. In the long run, PDPS has an edge over others. Price deficiency payment through direct money transfer can curb inefficiency and corruption in foodgrain operations and the benefits will reach farmers through the already built JAM (Jan Dhan-Aadhaar-Mobile) trinity.","Sep 14, 2020
                            ,07:35 AM (IST),12 days ago                            ",Ensure fair deal for farmers
