content,time,title
"Dubai: Delhi Capitals beat Chennai Super Kings by 44 runs to register their second consecutive win in the Indian Premier League. Sent in to bat, DC made 175/3 as opener Prithvi Shaw smashed 64 off 43 balls. Shaw’s innings had nine fours and a six as he added 94 for the first wicket with Shikhar Dhawan (35 off 27 balls). DC then restricted CSK to 131/7, with Kagiso Rabada picking up three wickets. Faf du Plessis continued his scoring touch with a 43 as he climbed to the top of the season’s scoring chart with 173 runs., Delhi Capitals 175/3 (Shaw 64, Pant 37, Dhawan 35; Chawla 2/33); Chennai Super Kings 131/7 (du Plessis 43; Rabada 3/26, Nortje 2/21). PTI,Kolkata vs Hyderabad,Star sports 7:30pm,Hamburg open,Sony six 5pm","Sep 26, 2020
                            ,07:15 AM (IST),10 hours ago                            ",Delhi Capitals beat CSK by 44 runs
"Royal Challengers Bangalore captain Virat Kohli took the blame for his team’s 97-run thrashing by Kings XI Punjab in the Indian Premier League here.,Without hesitation, Kohli took the blame for dropping Kings XI Punjab skipper KL Rahul twice, which contributed significantly to their defeat on Thursday.,Kohli felt had he not dropped two catches off the blade of Rahul, who remained unbeaten on 132, KXIP would not have been able to go past the 200-run mark.,“I have to stand in front and take the brunt of it, not the best day in the office, couple of important chances of KL when he was set and that cost us 35-40 runs at a later stage. Maybe if we restricted them to 180, we wouldn’t have been under pressure from ball one of the chase,” said Kohli at the post-match presentation.,KXIP posted 206 for three and RCB were bundled out for 109 in 17 overs.,“We know exactly where we went wrong and I have to put my hand up and say a couple of important chances went down. There are days when these kind of things happen on the cricket field, they happen and we have to accept them. We have had a good game (against Sunrisers Hyderabad), we have had a bad game and now it is time to move on and learn from the mistakes we made,” said Kohli.,On sending the young Josh Philippe ahead of himself at number 3, Kohli said: “He has batted at the top of the order for Western Australia and done well in the BBL as well, early days in the tournament so we thought we will maximise his ability and see how we go from there on. We thought we will give ourselves a bit of depth in the middle overs.”,The Australian wicketkeeper-batsman had batted in the middle-order in RCB’s first game against Sunrisers.,RCB next play defending champions Mumbai Indians here on September 28. PTI","Sep 25, 2020
                            ,10:14 AM (IST),23 hours ago                            ",Kohli takes blame for dropping Rahul twice; says time to move on after heavy loss
"Dubai, September 24,Skipper K L Rahul's sublime hundred was the highlight of an all-round performance as Kings XI Punjab defeated Royal Challengers Bangalore by a whopping 97-run margin here on Thursday.,Opening the innings, Rahul punished the RCB bowlers into submission to help KXIP to a daunting 206 for three before the bowling attack put up a disciplined effort to bundle Virat Kohli's side for 109 with three overs to spare.,The KXIP skipper, who was dropped by Kohli late in the innings, scored an unbeaten 132 off 69 balls that was laced with 14 boundaries and seven sixes.,With his spectacular knock, Rahul surpassed Rishabh Pant (128 in 2018) to post the highest individual score by an Indian and a captain in IPL history.,It was a rather ordinary performance from RCB after the win against Sunrisers Hyderabad in their tournament opener. For KXIP, the win came after a super over loss against Delhi Capitals.,RCB were in all sorts for trouble from the beginning of the run chase with Devdutt Padikkal (1) and Josh Philippe (0) returning back to the dug out in the first two overs.,After dropping two catches, Kohli, undoubtedly one of the best when it comes to run-chasing, failed with the bat managing just a run off five balls before he was caught off a Sheldon Cottrell delivery.,Opener Aaron Finch (20) was then joined in the middle by AB de Villiers (28). The duo looked dangerous, milking deliveries wherever possible. The two added 49-runs before the young Ravi Bishnoi broke the stand by getting rid of the Australian limited overs captain. Bishnoi (3/32) and Murugan Ashwin (3/21) dismissed Finch and de Villiers in quick succession with RCB reeling at 57 for five. Washington Sundar was the top scorer for RCB, hitting 30 off 27 deliveries.,Ashwin was the pick of the bowlers for KXIP, he picked three wickets giving away 21 runs. Bishnoi too claimed three wickets and was impressive once again. Cottrell (2/17), Mohammad Shami (1/14) and Glenn Maxwell (1/10) too bowled economical spells.,Earlier, Rahul also became the fastest Indian to reach 2000 IPL runs, reaching the milestone in his 60th innings. The stylish batsman clipped away a full length delivery to fine leg for four to break Sachin Tendulkar's record, who reached the milestone in 63 matches.,Opening the batting with Rahul, Mayank Agarwal (26) looked dangerous and shared a 57-run stand with his captain. However, with the introduction of spin into the attack in the seventh over, Yuzvendra Chahal (1/25) struck with the last ball, cleaning up Agarwal (26) with a delightful googly.,Nicholas Pooran (17) and Glenn Maxwell (5) once again failed to make an impact as Shivam Dube (2/33) accounted for the duo. Karun Nair pitched in with an eight-ball 15.,The pace troika of Umesh Yadav (0/35), Dale Steyn (0/57) and Navdeep Saini (0/37) had a torrid time as the KXIP skipper was on fire in his second game as captain. All players wore black armbands to honour Australian cricketer turned commentator Dean Jones, who died in Mumbai due to a cardiac arrest on Thursday. PTI","Sep 24, 2020
                            ,07:45 PM (IST),1 day ago                            ",IPL2020: KL Rahul’s leads KXIP to 97-run win over RCB
"Kings XI Punjab’s young spinner Ravi Bishnoi says head coach Anil Kumble has advised him to always stay calm and back his skills as a bowler.,The 20-year-old Bishnoi snared three wickets in an emphatic 97-run win over Royal Challengers Bangalore in the Indian Premier League (IPL) on Thursday night.,“Anil sir has always asked me to back strength in my bowling and skill. He asked me not to try too many things and try to be cool and calm in the middle,” Bishnoi said at the post-match press conference.,The India U-19 World Cup player returned impressive figures of 3-32 in his four overs against a side that boasts of the likes of Virat Kohli and AB de Villiers.,When asked, he sounded confident about bowling against the top players.,“Since we had a long camp before the IPL, I was preparing myself mentally as skill level is the same for everyone here. So being mentally strong and brave was my main focus. I told myself not to bowl lose deliveries which would allow them to attack me,” said the leg-spinner.,“We prepared well in our camp before the tournament here. We were focusing on mental strength and not bowling lose balls,” he added.,Skipper KL Rahul’s sublime hundred was the highlight of an all-round performance as Kings XI Punjab crushed Royal Challengers Bangalore by a whopping 97-run margin.,Opening the innings, Rahul punished the RCB bowlers into submission to help KXIP to a daunting 206 for three before the bowling attack put up a disciplined effort to bundle Virat Kohli’s side for 109 with three overs to spare.,Speaking about the game, Bishnoi said: “We were targeting to bundle them as early as we can. We stepped on the filed as we have to defend 180 runs,” Bishnoi said.,Regarding his skipper, Bishnoi was full of praise. “He is a class batsman with strong batting technicality. Everybody wants to see his shots again and again,” he said.,Kohli dropped two catches off the blade of Rahul, which proved costly, and his teammate Yuzvendra Chahal said spotting the ball even during practice was a bit difficult. “It was a little bit difficult, even during the practice. It was a little bit hard compared to the other grounds.”,On the current scenario, Chahal said: “It is just the second match and in the first match, we won because of the death bowling. So, it is too early. We bowled well but KL batted so well.” PTI","Sep 25, 2020
                            ,01:29 PM (IST),23 hours ago                            ",Anil Kumble asked me to be calm and back my skills: Bishnoi
"Dubai, September 25,Kings XI Punjab captain KL Rahul, who made a scintillating century against Royal Challengers Bangalore, said he was lacking in confidence heading into the team’s second IPL fixture.,Rahul starred with an unbeaten 132 off 69 balls as KXIP outplayed RCB by 97 runs here on Thursday.,“I have actually been not so confident (hitting it this well). I had a chat with Maxi (Glenn Maxwell) yesterday, he asked me how I was feeling, I said I was not feeling completely in control of my batting and he said you must be joking, you are hitting really well,” Rahul said at the post-match presentation.,He had already spoken about his fears leading up to the IPL, considering he was coming back after a five-month-long break due to the COVID-19 pandemic.,“Quite honestly, I was nervous but I knew if I spend time in the middle, hit a few balls from the middle of the bat, it will all settle down. I try to do (the same routine as I did when I was a player) but as a captain, you have shortened time and you are running around and doing a lot of things,” Rahul said.,He is captaining in the IPL for the first time.,“I still try to maintain the same routine. Once I am in the middle and during the toss is the only time I feel like a captain and otherwise I try to balance being a player and the captain,” he said.,After Rahul starred with the bat, KXIP bowlers put a disciplined performance to bundle out RCB for 109 in 17 overs.,“It’s as complete a team performance as it can get. We had a few different plans going into this game. We knew RCB have a power-packed batting line up and we had to get 2-3 wickets up front and that also meant putting runs on the board, we know what these guys can do if they get set. The analyst, coaches and the management will be happy.”,He was all praise for young leg-spinner Ravi Bishnoi.,“Something that has impressed me in him (Bishoni’s heart of coming back even after an expensive start). I watched the U-19 World Cup. He has a lot of fight in him. Every time I throw the ball he wants to do well, he was a little nervous bowling at guys like Finchy and AB, once he got through that he did well,” added Rahul. PTI","Sep 25, 2020
                            ,12:19 PM (IST),1 day ago                            ",Record-breaking Rahul says he wasn’t ‘feeling in control’ of his batting ahead of RCB fixture
"Dubai, September 25,The legendary Sunil Gavaskar on Friday found himself in the midst of a controversy for making an unsavoury comment against Virat Kohli and his wife Anushka Sharma after the Indian captain’s forgettable outing in the IPL.,After dropping two catches, Kohli, undoubtedly one of the best when it comes to chases, failed with the bat, managing just a run off five balls against Kings XI Punjab here on Thursday night.,In the commentary box, Gavaskar came up with a comment involving Kohli’s actor wife Anushka.,The remark was in bad taste and did not go down well with the RCB skipper’s fans, with some of them urging the BCCI to remove Gavaskar from the commentary panel.,Over the years, on quite a few instances, the Bollywood actress has been blamed whenever the now 31-year-old Kohli under-performed on the cricket field.,The Indian batting mainstay had a forgettable outing at the Dubai International Stadium.,Kohli dropped his KXIP counterpart KL Rahul twice — once in the 17th over at deep square-leg when he was batting on 83 and then again in the 18th over when he was on 89.,The KXIP skipper then went on to shatter a few records on the way to a 69-ball 132 — the highest scored by an Indian in an IPL game. PTI","Sep 25, 2020
                            ,10:39 AM (IST),1 day ago                            ",Gavaskar creates controversy with comment on Kohli and Anushka
"Dubai, September 25,Royal Challengers Bangalore captain Virat Kohli has been fined Rs 12 lakh after his team maintained a slow over-rate during their Indian Premier League match against Kings XI Punjab here.,RCB were thrashed by 97 runs in the match on Thursday night.,“As it was his team’s first offence of the season under the IPL’s Code of Conduct relating to minimum over-rate offences, Virat Kohli was fined Rs 12 lakh,” the IPL said in a release.,The Indian batting mainstay had a forgettable outing at the Dubai International Stadium.,While he dropped two catches of centurion KL Rahul, which proved to be costly, Kohli also could not contribute anything substantial with the willow.,On the other hand, his KXIP counterpart Rahul shattered a few records on the way to a 69-ball 132 — the highest scored by an Indian in an IPL game.,Kohli dropped Rahul twice — once in the 17th over at deep square-leg when he was batting on 83 and then again in the 18th over when he was on 89.,The lapses helped KXIP score an imposing 206 for 3, with Rahul doing the bulk of scoring. PTI","Sep 25, 2020
                            ,09:44 AM (IST),23 hours ago                            ",RCB skipper Kohli fined Rs 12 lakh for slow over-rate
"Putting up a stout defence, iconic Sunil Gavaskar on Friday said neither he blamed Virat Kohli’s actor-wife Anushka Sharma for India captain’s failure nor he made any sexist remarks during an IPL match and his comments were being misinterpreted.,Kohli had a bad day in office on Thursday when he led Royal Challengers Bangalore against Kings XI Punjab. He dropped two catches of rival skipper KL Rahul and managed only a run off five balls in RCB’s chase.,While Kohli was still at crease, Gavaskar said India captain is keen to improve and he knows that he can do so only by practicing more and more. He then added that during the lockdown Kohli faced only Anushka’s bowling and it is showing that it did not help much.,Gavaskar was speaking in Hindi when he made the comment.,However, the comment did not go down well with Kohli and Anushka’s fans and some even demanded his sacking from Star Sports commentary panel, lashing out at him on social media.,Reacting to it, Anushka also issued a statement on her Instagram page and said that Gavaskar’s message was “distasteful”.,Gavaskar though said his comments were not understood in right context.,The remark according to Gavaskar was in reference to a video clip where Kohli and Anushka were seen enjoying some tennis ball cricket in their compound.,“Firstly, I would like to say, where am I blaming her, I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar told India Today channel.,“It is tennis ball fun game that people have to pass time during the lockdown, so that’s all, so where am I blaming her for Virat’s failures.”                 ,Gavaskar also rubbished allegations on social media that he made a “sexist comment”.,“I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them,” Gavaskar said.,He also tried to explain his comment.,“As you can hear from the commentary, Aakash was talking about the fact there has been very little chance for any proper practice in the lockdown, for everybody...,“.....that has actually shown in rustiness of some of the players in their first matches. Rohit (Sharma) didn’t strike the ball well, now in the second match he has got runs, MSD (Mahendra Singh Dhoni) didn’t strike the ball well in the first match.”   ,He then also explained what exactly he said.                 ,“.....Anushka was bowling to him, so that’s what I said, that’s the only bowling, I have not used any other word. She was bowling to him, that’s all, where am I blaming her, where I am being sexist in this.”          ,“I’m just only stating what was seen on the video which was maybe recorded by somebody in the neighbouring buildings and put up and that’s the only thing I’m doing, but the point I’m making trying to make is that there was no practice for anybody including Virat in the lockdown., “...I have not been sexist, if somebody has interpreted it, what can I do,” Gavaskar said. PTI","Sep 25, 2020
                            ,06:35 PM (IST),24 hours ago                            ",I never blamed Anushka nor made sexist comment: Sunil Gavaskar
"Dubai, September 26,Chennai Super Kings head coach Stephen Fleming has admitted that his side were “a little bit muddled” at the moment and they need a clearer strategy going ahead after suffering two losses in three matches in the Indian Premier League.,Fleming also rued the missing of some key players that he said has affected the team combination.,“Well, we’re a bit muddled at the moment. We’re missing some key players, and we’re trying to find a balance that allows us to be competitive. We’re looking to develop a personality based on the wickets that we’re facing,” Fleming said after CSK lost to Delhi Capitals by 44 runs on Friday.,“Each wicket has been completely different, and our batting is without Rayudu, (Suresh) Raina etc. We’re trying to find a way or a combination and how to use players. We’ve learned a massive amount over three days,” he added.,Three-time champion CSK could not get going during the run chase against DC, and when asked why Sam Curran or Ravindra Jadeja was not promoted up the batting order, Fleming said they had used the same tactic in the last couple of games.,“We have almost got too many batting options at the moment, so that’s why I say we were a little bit muddled with what we’re sending out, so we just need to be a little bit clearer with what we’re doing, and perhaps what we’re missing is a bigger contribution at the top,” he said.,“It’s a lot of question marks and a lot of soul-searching from coaching point of view and strategy point of view, but we’re trying to find combinations where we get the best players at right times. To keep shunting the order all over the place is not really our style, but we’ve had a go at it and we’ll review how it’s gone.”,Spin bowling has been traditionally CSK’s strength but struggling at the moment, prompting Fleming to say it was an area of concern.,“Yeah, it’s an area of concern, because it’s been such a strength for CSK, and you’ve got to think that the style of play that we’ve developed over the last 12 years is heavily based on spin. So what we’re trying to do is find a different personality.,“Spin still plays a part, and we’ve played on three different grounds, so each game has been different conditions. We’re struggling to adjust to find the pace and the style to bowl through the middle, and that, in the last two games in particular, has been an area where we haven’t done so well. So from a strength to an area of concern, we need to rectify that.”,Asked about the possible team combination in the upcoming matches, Fleming said, “All bets are on the table at the moment as we try to find a way. We are looking forward to playing a number of games here (in Dubai), we were interested in how this pitch played, and get conditions right so we can get right combination.” ,The former New Zealand captain said the dew factor was something that his side couldn’t anticipate.,“We did (consider batting first) but what we can’t anticipate is the dew. We trained across the road the other day and it was soaking wet and it has a huge impact in second innings. Tonight, it was absolutely none so it’s a little bit of hit and miss at the moment,” he said.,“The last game we played in Sharjah was one of the wetter surfaces we’ve been involved in. We’re guessing a little bit around conditions. We are the guinea pigs in terms of playing first games on two venues.”           ,CSK’s next match is against Sunrisers Hyderabad on October 2. — PTI","Sep 26, 2020
                            ,06:07 PM (IST),40 mins ago                            ",We are ‘little bit muddled’ at the moment: CSK coach Fleming after second defeat
"Sunil Gavaskar today said he did not blame Virat Kohli’s wife Anushka Sharma for Kohli’s failures as a batsman, adding that his remarks made during an IPL match were being “misinterpreted”.,Yesterday Kohli had a bad day in Royal Challengers Bangalore’s loss to Kings XI Punjab as he dropped KL Rahul twice and then scored only one run off five balls.,When Kohli was batting, Gavaskar said: “He knows that the more he practises the better he will be. And during the lockdown, he has only practised against the bowling of Anushka as seen in that video. That is not going to be enough.” Anushka was upset by the comment, saying it was “distasteful”.,Gavaskar today said his comments were in reference to a video clip which showed Kohli and Anushka playing tennis ball cricket in their compound. “I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar said. “It is tennis ball fun game that people have to pass time during the lockdown, so that’s all... So where am I blaming her for Virat’s failures?”,Gavaskar said he has never been sexist. “I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them?” he said. — TNS, agencies","Sep 26, 2020
                            ,07:20 AM (IST),10 hours ago                            ",I didn’t blame Anushka for Virat’s failures: Gavaskar
