content,time,title
"Sandeep Dikshit,Isher Judge Ahluwalia’s biography, ‘Breaking Through — A Memoir’, will be read with more than a touch of poignancy as the author passed away within a month of its release.,There is an added poignancy to the passing away of a brilliant economist in the midst of the country’s worst-ever economic crises and to not having been consulted by the powers that be.,In her brilliant saris, coiffured hair and her presence at high visibility events, Isher Judge may have seemed to be the epitome of the Harvard-bred Khan Market Gang that the current regime deigns to shun.,But as her book reveals, it was the hard work of this number nine of eleven children of a Punjabi pickle maker that propelled her with distinction through Presidency College, Delhi School of Economics and, finally MIT. Her mentors along the way: Bimal Jalan, Amartya Sen, Manmohan Singh and Paul Samuelson.,She was among the young turks of economic liberalisation who along with her husband positioned themselves against the status quoits crowd of the licence-quota-permit-raj early on in her career.,Though the central governments of Congress persuasion absorbed the homilies that came from Indian Council for Research on International Economic Relations (ICRIER), an institution she built herself, her home state Punjab saw fit to requisition her services only in 2005 when Amarinder Singh was the Chief Minister.,It is also a tribute to her mite in building up ICRIER that when she stepped down as Chairman on August 11, she was unanimously made its first Chairman-emeritus, never mind that this may not have been to the current regime’s liking.,As was the case with her husband, Montek Singh Ahluwalia, there was just no doubt where they stood in the politics of economic development. But like their common guru Manmohan Singh, they never pushed the envelope of economic reforms too hard. There was always an acknowledgement from them that the other side’s story also has merit and needs to be listened to.,Theirs was not a case of the converted preaching the gospel without the help of the bible. After speaking on outdated economic ideas being pushed in Indian universities, her book in 1985 on the mis-delivery of economic growth had marked her out as someone not afraid of speaking her mind while the more accomplished economists like Manmohan Singh refrained from showing the mirror to the then reigning economic czars.,Her high noon of being involved in the government’s policy formulating circles lasted for a quarter of a century. With the advent of the BJP government, Isher Judge focused on ICRIER, encouraging her wards to keep pushing the boundaries of economic thought. Her recent co-authored series on economic possibilities in waste management were as much a gentle rap on the government’s knuckles as suggestive of the possibilities of monetising the Swachh Bharat concept.,Though Isher Judge would have been supportive of all of PM Modi’s move to privatise the economy, one wonders if she would have approved its current ramrodding while lives have already been upended by Covid? Isher Judge also sought a similar end where the private sector occupies the commanding heights. But her means to achieving that aim were always gentler, gradual and persuasive.","Sep 26, 2020
                            ,06:38 PM (IST),5 mins ago                            ",A gentler proponent of laissez faire in economic policy
"Three Bollywood divas—Deepika Padukone, Sara Ali Khan and Shraddha Kapoor—are being questioned by the Narcotics Control Bureau (NCB) in a drugs-related case linked to the death of actor Sushant Singh Rajput.,The agency after questioning several other accused in the case has prepared a list of questions that it is seeking answers to from the three actors which can spell trouble for them.,According to NCB sources, the three actors have been asked to join the probe after several alleged chats came to light where drugs were being discussed.,The source said that Deepika will be first asked to identify the mobile number in the alleged chat with her former manager Karishma Prakash. She will also be asked if she sent those messages or someone on her behalf sent the alleged messages enquiring about ""maal"" from Karishma.,The sources said that the NCB will also ask Deepika, who is the daughter of badminton icon Prakash Padukone, if she used to consume drugs, if yes, from where she used to procure them and who made the payment for the drugs.,The NCB will also ask her if she was procuring the drugs for her personal consumption or someone else and since when she has been using these substances and who all were the persons who provided her with these drugs.,She will also be asked for how long she has known Karishma and Sushant's former talent manager Jaya Saha, who worked with Kwan Talent Management Agency.,Similarly, Shraddha, who is the daughter of actor Shakti Kapoor, will be asked about her alleged chats with Saha to get the CBD oil.,The NCB source said that she will be asked since when she was procuring drugs and for whom and whether she consumed them and who paid for them.,The source said that Shraddha, who starred with Sushant in ""Chichhore"", will also be questioned about her visits to the Pawna resort, where the alleged drugs party was hosted, along with Sushant.,She will be asked for how long she knew Sushant and did they consume drugs together and who procured the drugs for the parties, and who made the payment for them.,Meanwhile, Sara, daughter of actor Saif Ali Khan, is also being questioned in the case and will be asked if she too consumed drugs. Sara's troubles began after Sushant's girlfriend Rhea Chakraborty in a television interview claimed that the late actor got into the habit of smoking marijuana during the shooting of ""Kedarnath"".,Sara and Sushant were the lead actors of ""Kedarnath"".,Sara will also be questioned if she knew of the drug usage by Sushant during the shooting of the film and from where these drugs came and who paid for them.,The NCB has already recorded the statement of Sushant's former manager Shruti Modi, Bollywood actor Rakul Preet Singh, Dharma Productions former executive producer Kshitij Prasad Ravi, Kwan Talent Management Agency CEO Dhruv Chitgopekar, producer Madhu Mantena Varma and several others.,The NCB has arrested Rhea, her brother Showik, Sushant's house manager Samuel Miranda, personal staff Dipesh Sawant and 16 drug peddlers in the case.,The NCB registered a case under the NDPS Act after the Enforcement Directorate (ED), probing a money laundering case linked to the death of Sushant on the basis of a Bihar Police FIR, wrote to the NCB. The ED had detected several drug chats from the seized electronic devices of the accused. ","Sep 26, 2020
                            ,03:08 PM (IST),4 hours ago                            ","List of questions for Deepika Padukone, Sara Ali Khan and Shraddha Kapoor by NCB"
"Mumbai, September 26,Observing that prostitution was not a criminal offence under the law, and that an adult woman had the right to choose her vocation, the Bombay High Court has ordered immediate release of three women sex workers detained at a state corrective institution in Mumbai.,In an order passed on Thursday, a bench of Justice Prithviraj Chavan said that prostitution had not been considered a criminal offence under the Immoral Traffic (Prevention) Act, 1956.,He said that prostitution by itself was not an offence and did not entail a punishment. Instead, its public solicitation was the offence defined under the Act.,Justice Chavan was hearing a plea filed by the three women challenging an order passed by the Metropolitan Magistrate, Mazgaon, that had upheld their detention at a local correctional facility against their will.,As per the HC order, the women, all in their twenties, were picked up by the police in September last year following a raid at a guest house.,The middleman was arrested and booked under the Act.,The three women were held as “victims” and sent to the correctional facility.,Subsequently, the mothers and other legal guardians of the three women approached the magistrate’s court seeking their custody.,The magistrate however, declined to give their custody to their guardians.,Justice Chavan, however, set aside the magistrate’s order.,He said that the women were “adults,” and “entitled to their fundamental right to move freely and choose their own vocation”.,The high court held that since the women were not being prosecuted under the law, there was no question of continuing their detention at the correctional home.,“Even otherwise, the Immoral Traffic (Prevention) Act, 1956 does not empower the Magistrate to hold the custody of the victims beyond the period of three weeks without there being any final order to that effect after following due process of law,” the HC said.,It further said that there was nothing on record to show that the petitioners were seducing any person for the purpose of prostitution or that they were running a brothel.,“There is no provision under the law, which makes prostitution per se a criminal offence or punishes a person because he indulges in prostitution,” it said.,“What is punishable under the Act is sexual exploitation or abuse of a person for commercial purpose and to earn the bread thereby. And where a person is carrying on prostitution in a public place or when a person is found soliciting or seducing another person as defined under the Act,” the court said. PTI","Sep 26, 2020
                            ,01:34 PM (IST),5 hours ago                            ","Prostitution not an offence, its public solicitation is: Bombay High Court"
"To ensure availability of medical oxygen in the country at a reasonable price amidst the COVID-19 pandemic, the national drug pricing regulator NPPA has capped the price of medical oxygen cylinders and liquid medical oxygen for six months, the government said on Saturday.,The present situation of COVID-19 has resulted in increased demand of medical oxygen up to almost four times from 750 MT per day to around 2,800 MT per day, the Ministry of Chemicals and Fertilizers said in a statement.,The issue related to availability, including pricing of oxygen, has been under the continued consideration of Empowered Group 2, Government of India.,It recommended the National Pharmaceutical Pricing Authority (NPPA) to consider capping the ex-factory price of liquid medical oxygen in order to ensure its supply to fillers at reasonable prices, it added.,The Empowered Group 2 also requested NPPA to consider a cap for ex-factory price of oxygen in cylinders in order to ensure supply of oxygen cylinders from fillers at reasonable prices, the ministry said.,The Ministry of Health & Family Welfare delegated powers under Section 10(2) (l) of Disaster Management Act, 2005 to NPPA to take all necessary steps to immediately regulate the availability and pricing of liquid medical oxygen (LMO) and medical oxygen in cylinders, it added.,The Authority deliberated upon the matter in its extra ordinary meeting held on September 25 and decided to invoke extraordinary powers in public interest, under Para 19 of DPCO, 13 and under Section 10(20) (l) of Disaster Management Act, 2005 to deal with the emergent situation arising due to the pandemic, the statement said.,It decided to immediately regulate the availability and pricing of LMO and medical oxygen cylinders.,NPPA decided “to cap the ex-factory price of LMO at manufacturers end at Rs 15.22/cubic metre (CUM) exclusive of GST; and to further cap the ex-factory cost of medical oxygen cylinder at filler end at Rs 25.71/CUM exclusive of GST in suppression of the existing ceiling price of Rs 17.49/CUM, subject to transportation cost fixation at state level, for six months,” the statement said.,The existing rate contracts of state governments for oxygen purchase, as applicable, shall continue, in consumer interest, it added.,The ex-factory price cap of LMO and oxygen gas cylinders will be applicable to domestic production and supply, the statement said.,In a tweet, Minister of Chemicals and Fertilizers D V Sadananda Gowda said, “Government is committed to ensure availability of oxygen during #COVID19.@nppa_india  price cap will address challenge of transporting oxygen to distant and interior districts”. PTI","Sep 26, 2020
                            ,03:59 PM (IST),2 hours ago                            ","NPPA caps price of liquid medical oxygen, medical oxygen cylinders"
"The Uttar Pradesh Police’s Special Investigation Team, which was set up to probe the death of Mahoba-based trader Indrakant Tripathi, has said the bullet which killed him was fired from his own licensed pistol.,The probe found that the bullet was fired from the front which had pierced through his neck and got entangled in the seat behind, Allahabad ADG Prem Prakash said on Friday night, citing the SIT’s investigation report.,Indrakant, 44, who had levelled allegations of corruption against former Mahoba SP Manilal Patidar, now under suspension, was shot at under mysterious circumstances and succumbed to injuries at a hospital in Kanpur on September 13.,The two men—Arjun and Satyam—who had rushed Indrakant to hospital also said in their statements that the pistol was found lying near his knees which was later handed over to the deceased’s brother-in-law Brijesh Shukla by his business partner Ballu Maharaj’s brother Asharam.,The pistol was given to the SIT by Indrakant’s elder brother Ravikant, the ADG said.,On September 8, Indrakant had a meeting with his business partners Ballu Maharaj and Purshottam Soni at a hotel after which he left for home. Later, he was found in his car with a bullet injury, the official said.,The ADG said investigations are on and clean chit has not been given either to the suspended SP or anyone else.,The SIT has sent the preliminary report to the DGP, he added.,The trader was attacked days after he had levelled allegations of corruption against the then Mahoba SP.,Ravikant had alleged that Patidar had demanded a bribe of Rs 6 lakh from his brother and threatened to kill him or send him to jail in case of non-payment.,“My brother uploaded a video on social media on September 7 and 8...  after a few hours on Tuesday (September 8), he was found in his car with a bullet injury,” he had said.,On September 9, Patidar was suspended with immediate effect by Uttar Pradesh Chief Minister Yogi Adityanath on corruption charges.,The chief minister had also ordered a vigilance probe into the properties of Patidar.,Ballast transporters had accused the then SP of demanding money from them for allowing transportation of material. PTI","Sep 26, 2020
                            ,03:15 PM (IST),3 hours ago                            ",Mahoba trader shot with his own pistol: SIT
"Imagine shooting an entire travel vlogging series on an iPhone, edit it on an iPad Pro and you are done to showcase your digital masterpiece to the world which would have otherwise cost you a bomb, involving several crew members, specialised cameras, audio and video, fancy gimbals and more.,Rocky Singh and Mayur Sharma, the acclaimed travellers and foodies whom we know as 'Highway Men,' took the daunting task to shoot a unique, digital-exclusive travel vlogging series titled #RoadTrippinWithRnM, with just an iPhone 11 Pro Max and an iPad Pro (for editing) in their kitty post-lockdown.,They got behind the wheels for the 14-day road-trip across Rajasthan (with only a cameraperson), churning out over 60 minutes of content daily at over eight locations. They drove over 200 kms daily for a 16-hour-long day in the 40 degree Celsius heat, keeping the social distancing norms in mind.,""You won't believe this but no one has ever done this before. The entire #roadtrippinwithrnm journey was shot and edited only on an iPhone 11 Pro Max and iPad Pro. We had to maintain social distancing, so we found this the best way to go out in a vehicle and shoot,"" Mayur told IANS.,According to Rocky, the whole digital experience was so awesome that they did not miss the hustle and bustle of being part of a TV show or long post-production hours.,""We never thought that just two Apple devices will be enough to produce such a wonderful series. It was seamless to work on these devices at your leisure and produce such a wonderful content. This is the future of creative content production for TV and cinema,"" Rocky said.,The triple-camera system on iPhone 11 Pro Max takes Portrait mode to a new level with the ability to choose Wide and Telephoto framing, enabling Portrait mode with a wider field of view, great for taking portraits of multiple people.,The next-generation Smart HDR uses advanced Machine Learning to recognise subjects in the frame and intelligently relight them for more natural-looking images with greater detail.,While the new ""True Tone"" flash is over 30 per cent brighter. Deep Fusion is a new image processing system enabled by the Neural Engine of A13 Bionic chip.,Deep Fusion uses advanced machine learning to do pixel-by-pixel processing of photos, optimizing for texture, details and noise in every part of the photo.,""We were able to control the shoot and edit on the two Apple devices and the final output was so superb that you will be left thrilled,"" Rocky said.,The iPad Pro packs creative apps from Adobe, Autodesk and Procreate.,For creative professionals, there is a high-performance USB-C connector that brings a whole new set of capabilities. They can connect iPad Pro to cameras, musical instruments, external monitors, even docks, and get data transfer done in a jiffy.,Improvements to Photo Import and support for native RAW image editing give photographers efficient ways to work on the device.,""For us, it was like going back to the basics. This gives up hope at a time when the TV and film industry is suffering in the pandemic times,"" Rocky noted.,The duo, who came to prominence with their TV show 'Highway on My Plate,' posted daily vlogs, pictures and engaged in Live Q&A sessions on social media while going through the 14-day road shooting trip.,Result: Over 5.5 crore organic impressions and 16 million views in 14 days.,The organic impressions are now nearing almost 10 crore.,""We are now looking to replicate the experience with exploring more such highways, like in Uttaranchal or Himachal Pradesh, hoping for more brands to relive the fantastic journey with us,"" Mayur said. ","Sep 26, 2020
                            ,05:55 PM (IST),48 mins ago                            ","Indian 'Highway Men' wrap up travel series on just iPhone, iPad"
"Economist Isher Judge Ahluwalia passed away at New her Delhi residence on Saturday morning after a long battle with high-grade cancer for months. She was 74.,She would have turned 75 on October 1.,The wife of India's leading economic policy driver, and former deputy chairman of the Planning Commission, Montek Singh Ahluwalia, Isher Judge carved her niche in the sector serving as the head of the Indian Council for Research on International Economic Affairs for 15 years.,Isher Judge stepped down as the chairperson of ICRIER on August 10, this year, on account of her poor health. She was elected as the Chairperson of the Council at the Annual General Meeting held on August 8, 2005.,Isher—as she affectionately known to her friends and colleagues— however, continued as the Chairperson Emeritus of the Council. The position was created to honour her exceptional contributions to ICRIER.,Former Prime Minister Manmohan Singh, who turned 88 today, paid his condolences by visiting the Ahluwalia residence.,Punjab Chief Minister Captain Amarinder Singh was 'saddened' to hear the demise of Dr Isher Judge Ahluwalia.,""Saddened to learn of the passing aaway of Dr Isher Judge Ahluwalia, one of India’s most distinguished economists, and we had the privilege of having her as vice chairman of state planning board in my last term. Heartfelt condolences to Montek ji and their family in this hour of grief,” read the Chief Minister's tweet.,Saddened to learn of passing away of Dr Isher Judge Ahluwalia. She was one of India’s most distinguished economists & we had privilege of having her as Vice-Chairman of State Planning Board in my last term. Heartfelt condolences to Montek ji & their family in this hour of grief.,Isher Ahluwalia’s contribution to ICRIER’s efforts to realise the ambitions of the council’s founders as an independent, high-quality think tank creating knowledge has been well documented.,During her farewell, the council on August 10, had said: ""Our mission got a boost when Isher became the Director and Chief Executive in 1998 and were further advanced when she assumed the position of Chair. Her outstanding leadership and deep commitment meant that ICRIER became synonymous with her and with the qualities of excellence, integrity and independence she embodies. It was during her tenure that ICRIER rose to be ranked as India’s best think tank in international economic policy and international development for years on and continues to occupy that preeminent position. In addition, ICRIER is known for the excellence of the quality of its research, particularly in areas like Agriculture, Trade Policy and Telecom.”,Isher Judge is known to have curated and chaired the ICRIER-India Habitat Centre ‘Conversations on Urbanisation’ that became very successful and widely appreciated.,She was awarded the Padma Bhushan by President of India in 2009 for her services in the field of education and literature.,Courtesy her scholarship, ICRIERs research output continues to be regularly cited in the media, in journals, in Parliament and used by various Ministries and Departments that focus on policy formulation.,Some of ICRIERs research work is now being used as essential reading in universities in India and abroad.,“Entirely due to Isher’s efforts, ICRIER’s Endowment Fund was strengthened considerably and ICRIER acquired new office premises. She also built up an extremely distinguished Board of Governors at ICRIER, comprising the best of Entrepreneurs, Bureaucrats and Academicians, who are committed to building ICRIER into India’s foremost independent Research organization,” late Isher Judge’s associates recall.,Isher Judge was a recipient of PhD from MIT, MA from the Delhi School of Economics and BA (Hons) from Presidency College, Kolkata. Her work has focused on policy-oriented challenges facing the Indian economy in the areas of urbanisation, sustainable public service delivery, macroeconomic issues, and industrial growth and productivity.,She routinely participates in and contributes to international conferences both in India and abroad.,Isher Judge documented her extraordinary life – including her childhood in West Bengal where her father was not interested in educating the girls—in a book “Breaking Through’’, that was launched earlier this year.","Sep 26, 2020
                            ,03:33 PM (IST),2 hours ago                            ","Economist Isher Judge Ahluwalia passes away at 74; Manmohan, Amarinder express condolences"
"New Delhi, September 26,The BJP on Saturday announced the long-awaited list of its national office-bearers as the party effected a major reshuffle in key organisational positions, gave the team a more pan-India look and brought in new faces, including some seen to be strongly associated with its core ideology.,The highlights of the new list are replacement of several general secretaries, including Ram Madhav, P Muralidhar Rao and Anil Jain, with new faces; appointment of Tejasvi Surya, an articulate and fiery advocate of the Hindutva plank, as the party’s youth wing president; and giving place to West Bengal leader Mukul Roy; and Vinod Tawade and Pankaja Munde of Maharashtra in the team.,Roy has been made a vice-president and the two Maharashtra leaders secretaries. There had been reports that all three of them were miffed with their respective state leadership.,Surya has replaced Poonam Mahajan.,Uma Bharti has been dropped as vice-president along with MP Vinay Sahasrabuddhe, Prabhat Jha, Om Prakash Mathur and Shyam Jaju among others while Saroj Pandey has been dropped as general secretary.,Prime Minister Narendra Modi greeted the new team of office-bearers and expressed confidence that they would uphold the “glorious tradition” of the party of serving the people of India selflessly and with dedication.,“Congratulations and best wishes to the new team. I am confident they will uphold the glorious tradition of our party of serving the people of India selflessly and with dedication. May they work hard to empower the poor and marginalised,” he tweeted.,Congratulations and best wishes to the new team. I am confident they will uphold the glorious tradition of our Party of serving the people of India selflessly and with dedication. May they work hard to empower the poor and marginalised. ,There are five new general secretaries among the total eight: Dalit leader Dushyant Kumar Gautam, D Purandareshwari of Andhra Pradesh, C T Ravi of Karnataka, Tarun Chugh of Punjab, a state where the BJP’s ties with ally Akali Dal have nosedived over farm bills, and Dilip Saikia from Assam.,Bhupender Yadav, Kailash Vijayvargiya and Arun Singh have retained their position as general secretaries, who occupy a critical position in the organisation as they are often put in charge of states and serve as a link between the regional and central leaderships.,Sources said the BJP leadership has chosen to go with leaders who are fit for their role and are seen to be reflective of the party’s ideology.,They said those who have been dropped should not be naturally judged negatively, adding that any new list of office bearers was bound to have a high proportion of fresh faces, something the party's constitution also advocates.,However, some may have been dropped for reasons like their wont to make comments which had repeatedly irked the leadership and non-performance, they added.,A party leader said the new team was more diverse, youthful and representative of the BJP’s newfound strength in southern India and the Northeast.,The party has also increased the number of its national spokespersons to 23 while elevating MP Anil Baluni as the chief spokesperson and keeping him as its national media head. The new spokespersons include former minister Rajyavardhan Singh Rathore, Rajiv Chandrashekhar, Tom Vadakkan and young Dalit leader Guru Prakash.,Amit Malviya remains in charge of the party’s IT wing.,The new list of spokespersons was more representative of social, caste, regional and religious diversity, a source noted.,However, the party has not filled vacancies in its parliamentary board, its highest decision-making body. Some vacancies in other positions also remain.,There is a view that Modi may also go for a Cabinet reshuffle in some time. Though there is no official word on this. The number of women in the national office-bearers' list has risen to 13 from eight earlier.,The BJP also named Rajesh Agarwal as its new treasurer and brought in new faces as heads of its different morchas, with K Laxman, Rajkumar Chahar, Lal Singh Arya, Samir Oraon and Jamal Siddiqui made president of OBC, SC, ST and minority morcha respectively.,It has, however, not announced the head of its women’s wing. PTI","Sep 26, 2020
                            ,04:20 PM (IST),3 mins ago                            ",JP Nadda announces new team of BJP’s national office-bearers
"Adar Poonawalla, CEO and owner, Serum Institute of India, on Saturday in a tweet asked the Ministry of Health and Family Welfare how the Government of India planned to procure Rs 80,000 crore to distribute COVID-19 vaccine to everyone in India.,“Quick question; will the government of India have 80,000 crores available over the next one year? Because that’s what @MoHFW_INDIA needs to buy and distribute the vaccine to everyone in India. This is the next concerning challenge we need to tackle,” he wrote in a tweet.,Quick question; will the government of India have 80,000 crores available, over the next one year? Because that's what , needs, to buy and distribute the vaccine to everyone in India. This is the next concerning challenge we need to tackle. ,“I ask this question, because we need to plan and guide vaccine manufacturers both in India and overseas to service the needs of our country in terms of procurement and distribution,” he wrote in another tweet.,I ask this question, because we need to plan and guide, vaccine manufacturers both in India and overseas to service the needs of our country in terms of procurement and distribution.,Serum Institute is currently conducting a phase 3 clinical trial of a vaccine co-developed by AstraZeneca and University of Oxford, of which the Pune-based company plans to manufacture one billion doses.,The company is in pact to produce another billion doses of a vaccine developed by Novavax, for which Poonawalla's firm will start phase 3 trials next month.","Sep 26, 2020
                            ,06:28 PM (IST),15 mins ago                            ","Govt may need Rs 80,000 cr for COVID-19 vaccine in next 1 year: Adar Poonawalla"
"A man was killed and six members of his family were injured in an explosion at their house in a Mathura village, police said on Saturday. The injured included three women and a child, police said, adding the incident took place at Surir Kalan village on Friday night.,The Mathura chief fire officer has been asked to probe the incident and submit a report at the earliest, SSP Gaurav Grover said.,Police said the double-storeyed house collapsed following the explosion on its first floor.,All seven people were taken out of debris but not before Jogendra (25), son of house owner Babu Lal, breathed his last, police said.,The injured were identified as Sabita, Deepansu, Mahendra, Indravati (55), Sunil (40) and Shivani (22). According to police, Indravati has been shifted to an Agra medical college after her condition deteriorated.,Police have registered a case against Indravati as some explosive material and crackers were stored in a room on the first floor of the house without permission. Chief Fire officer Promod Sharma refused to divulge any details about the probe. “I will submit a report to the SSP today,” he added. ","Sep 26, 2020
                            ,04:24 PM (IST),2 hours ago                            ","One killed, six hurt in explosion at house in UP's Mathura"
