content,time,title
"The World Health Organization (WHO) warned that the global coronavirus death toll could hit two million before an effective vaccine is widely used.,WHO emergencies head Mike Ryan on Friday said the figure could be even higher without concerted international action, the BBC reported.,The number of Covid-19 deaths is fast approaching one million - nine months after the outbreak started in China.,Ryan also urged Europeans to ask themselves whether they had done enough to avoid the need for lockdowns.,He questioned whether all the alternatives had been implemented, like testing and tracing, quarantine, isolation, social distancing, wearing masks and hand-washing.,Earlier, Spain's capital Madrid brought another eight districts under tougher coronavirus restrictions, which now affect a million people in the city.,In France, staff from bars and restaurants in the southern city Marseille protested against the closure of their workplaces which was brought in on Saturday.,And in the UK, tougher restrictions were announced in several regions as new daily infections rise.","Sep 26, 2020
                            ,11:41 AM (IST),9 mins ago                            ","Before vaccine comes, global death toll may hit 2 million: WHO"
"Washington, September 26,The Trump Administration is seeking to restrict the stay of journalists from China in the US to just 90 days with the provision of another extension for a similar duration, according to a federal notification.,The proposal of the Department of Homeland Security is part of the fixed time limit on visas of students, researchers and foreign journalists in the US.,While the time limit for foreign journalists in general has been restricted to 240 days and another extension of a similar period, those for a journalist from China would be issued an “I” visa by the United States just for 90 days, as per the federal notification issued on Friday.,Stake holders have 30 days to respond to the federal notification before it can be enforced.,Foreign nationals travelling on a passport issued by China or Hong Kong would be issued I visa – which is the category for a foreign journalist—may be admitted until the “activities or assignments consistent with the I classification” are completed, not to exceed 90 days, the notification said.,Passport holders from Macau Special Administrative Region have been given exception.,The extension for Chinese journalists is also for 90 days only.,Foreign journalists and their dependents would have to leave the country immediately on expiry of their I visa or denial of their extension application.,Previously, foreign journalists were admitted in the US for the duration of their employment.,In March, the State Department asked Chinese media outlets to reduce their number of staff in the US.,Four Chinese State-run media outlets—Xinhua News Agency, China Global Television Network, China Radio International and China Daily– were asked to reduce their total staff of 160 Chinese nationals to 100.,In June, the US designated four top state-run Chinese media houses as “foreign missions,” terming them as “propaganda” outlets “controlled” by the ruling Communist Party of China.,In February, the US had designated five other Chinese state-run media houses.,These nine entities all meet the definition of a foreign mission under the Foreign Missions Act, which is to say that they are substantially owned or effectively controlled by a foreign government, the State Department had said. PTI","Sep 26, 2020
                            ,12:29 PM (IST),2 hours ago                            ",US moves to restrict stay of Chinese journalists to 90 days
"Atlanta, September 26,NASA astronaut Kate Rubins told The Associated Press on Friday that she plans to cast her next vote from space – more than 200 miles above Earth.,Rubins is just outside Moscow in Star City, Russia, preparing with two cosmonauts for a mid-October launch and a six-month stay at the International Space Station.,“I think it’s really important for everybody to vote,” Rubins said.,“If we can do it from space, then I believe folks can do it from the ground, too.”               ,Most US astronauts live in Houston. Texas law allows them to vote from space using a secure electronic ballot. Mission Control forwards the ballot to the space station and relays the completed ballot back to the county clerk.,“It’s critical to participate in our democracy,” Rubins said.,“We consider it an honour to be able to vote from space.”          ,NASA astronauts have voted from space before. Rubins and Shane Kimbrough cast their votes from the International Space Station.,Rubins, the first person to sequence DNA in space, plans to work on a cardiovascular experiment and conduct research using the space station’s Cold Atom Lab.,While she’s there, she’ll celebrate the 20th anniversary of continuous human presence on the space station, and welcome the crew of the second SpaceX commercial crew mission, expected to arrive in late October. — AP","Sep 26, 2020
                            ,12:37 PM (IST),1 hour ago                            ",NASA astronaut plans to cast her ballot from space station
"Seoul, September 26,South Korea urged North Korea on Saturday to further investigate the fatal shooting of a South Korean fisheries official and suggested it could be a joint probe by the two sides, as public and political outrage over the killing grew.,The move came as a rare apology from North Korean leader Kim Jong Un appears to have failed to soothe criticism over the Moon government's handling over the accident.,After a National Security Council meeting last evening, South Korea's presidential office said it would call for a joint probe into the case with the North if needed, saying there were discrepancies in accounts of the accident from the two sides.,South Korea's military said on Thursday that the North's soldiers killed the man, doused his body in fuel and set it on fire near the sea border.,But the North Korean government said in a message on Friday that its soldiers shot the ""illegal intruder"" and denied burning his body.,In the message, North Korean leader Kim Jong Un was quoted as offering an apology for disappointing his counterpart Moon Jae-in and the South Korean people.,The main opposition People Power Party said on Saturday Kim’s apology was not genuine, calling on the Moon government to send the case to the International Criminal Court and the US Security Council.,The Moon administration faces an intense political backlash over how it responded to the incident, which coincided with a renewed push by the president for engagement with Pyongyang.,Critics accused Moon of failing to save a citizen's life and being soft on North Korea, saying the military did not attempt to save him despite spotting him six hours before he was shot dead.,""Peace is important in inter-Korean relations, but the most important thing is the lives of our people. Our people were shot by North Korea and why there is no such movement as “Korean lives matter” in South Korea?” said Thae Yong Ho, a former North Korean deputy ambassador to London who defected to the South, and became a lawmaker.,“I am depressed. Why are we weak in front of North Korea,"" he said at a meeting of a parliamentary task force to investigate the case.,The maritime ministry official was reported missing while on duty on a fisheries boat near the island of Yeonpyeongdo close to South Korea's sea border.,South Korea's military said the man was apparently attempting to defect to the North, but his brother refuted the claims, saying that he must have had an accident. Reuters","Sep 26, 2020
                            ,12:45 PM (IST),2 hours ago                            ",South Korea suggests joint probe with North on shooting of S Korean official
"Beijing, September 26,Ford, Nissan and BMW unveiled new electric models for the Chinese market on Saturday as the Beijing auto show opened under anti-virus controls that included holding news conferences by international video link.,Automakers are looking to China, the first major economy to start recovering from the coronavirus pandemic, to drive sales growth and reverse multibillion-dollar losses.,Auto China 2020, postponed from March, is the first major trade show for any industry since the pandemic began.,The ruling Communist Party’s decision to go ahead with it reflects official confidence China, where the pandemic began in December, has the disease under control.,“The 2020 Beijing motor show is a symbol of hope,” BMW AG’s China CEO, Jochen Goller, told reporters. He paid tribute to Chinese medical workers who “made it possible for us to enjoy this large-scale event today.”,Authorities ordered limits on crowds at the event, which attracted 820,000 visitors at its last installment in 2018.,China’s auto market, the world’s biggest, already rebounded to sales above pre-pandemic levels. Purchases rose 6 per cent in August compared with a year earlier, while US sales were down 9.5 per cent.,Global and Chinese automakers displayed dozens of electric models, reflecting a race by the industry to meet Chinese government sales quotas imposed to promote the technology.,Ford Motor Co held the China debut of its all-electric Mustang Mach-E SUV.,Nissan Motor Co. showed its Ariya SUV, its second all-electric model for China.,BMW displayed its iX3 electric SUV, which Goller said will be produce at a factory in China’s northeast for sale worldwide.,The company also held the global debut of its M3 sedan and M4 coupe, reflecting the growing importance of China’s luxury market.,The ruling party has transformed China into the world’s biggest electric vehicle market, accounting for about half of global sales, with subsidies and other support. — AP","Sep 26, 2020
                            ,12:35 PM (IST),2 hours ago                            ",China opens auto show under anti-virus controls
"A young man stabbed two people on Friday outside the former Paris offices of satirical newspaper Charlie Hebdo, where 12 people were killed in 2015, and a terrorism investigation has been opened into the new attack, authorities said.,The suspected assailant had been arrested a month ago for carrying a screwdriver but was not on police radar for Islamic radicalization, France’s interior minister said. He said the screwdriver was considered a weapon, but did not explain why.,Two people were wounded in Friday’s attack, and two suspects were arrested, although the links between the two suspects weren’t immediately clear.,The main suspect, a young man with speckles of blood on his forehead and wearing orange gym shoes, was arrested on the steps of the Bastille Opera in eastern Paris, authorities said.,The site is not far from where Friday’s attack took place, outside the building where the weekly Charlie Hebdo was located before the 2015 attack.,The interior minister said the assailant arrived in France three years ago as an unaccompanied minor, apparently from Pakistan, but his identity was still being verified.,“Manifestly it’s an act of Islamist terrorism,” Interior Minister Gerald Darmanin said in an interview with public broadcaster France-2.,“Obviously, there is little doubt. It’s a new bloody attack against our country, against journalists, against this society.”   ,France’s counterterrorism prosecutor said earlier that authorities suspect a terrorist motive because of the place and timing of the stabbings: in front of the building where Charlie Hebdo was based until the Islamic extremist attack on its cartoonists, and at a time when suspects in the 2015 attack are on trial across town.,Prosecutor Jean-Francois Ricard said that the chief suspect in Friday’s stabbings was arrested, along with another person.,Ricard said the assailant did not know the people stabbed, a woman and a man working at a documentary production company who had stepped outside for a smoke break.,An investigation was opened into “attempted murder in relation with a terrorist enterprise”, according to the terrorism prosecutor’s office.,French Prime Minister Jean Castex said the lives of the two wounded workers were not in danger.,He offered the government’s solidarity with their families and colleagues.,The prime minister noted the “symbolic site” of the attack, “at the very moment where the trial into the atrocious acts against Charlie Hebdo is under way”. ,He promised the government’s “unfailing attachment to freedom of the press, and its determination to fight terrorism”.                 ,People in the neighbourhood were stunned, saying on French TV that they were reliving the nightmare of the newsroom massacre.,In a tweet, Charlie Hebdo strongly condemned the stabbings.,“This tragic episode shows us once again that fanaticism, intolerance, the origins of which will be revealed by the investigation, are still present in French society....There is no question of ceding anything,” the newspaper said.,The two people confirmed injured worked for documentary film company Premieres Lignes, according to founder Paul Moreira. He told France’s BFM television that the attacker fled into the subway, and the company’s staff members were evacuated.,Moreira said a man in the street “attacked two people who were in front of the building, didn’t enter the building, and who attacked them with an axe and who left.” He said the company had not received any threats.,His colleague, Luc Hermann, describing witnesses’ version of the attack, said the assailant first struck the woman in her face, then the man, before returning to attack the woman again.,“The whole team ... took refuge on the roof of the building like our team did five years ago during the attack of Charlie Hebdo,” he said on France-2.,He said it was “incomprehensible” that authorities had not taken special security precautions particularly at this time.,A wrenching, two-month trial in the Charlie Hebdo attacks is currently unfolding at the main Paris courthouse. Murmurs broke at the terrorism trial of 14 people, including 3 fugitives, accused of helping the attackers in the January 2015 killings, as the news filtered through.,The widows of the two brothers who forced their way into the newspaper’s offices and opened fire at a morning editorial meeting testified Friday.,Caty Richard, a lawyer for the Charlie Hebdo journalists, heard about the knife attack in the midst of the trial.,“My first thought was this will never end,” she said. “I am devastated, angry.” ,The interior minister conceded that security was lacking on the street where Charlie Hebdo was once headquartered. He said that 775 police protect its new location.,But “there was an attack so we could have done better”, he said. The minister said he has ordered special protection for all “symbolic sites”, noting in particular Jewish sites ahead of the Yom Kippur holiday this weekend.,A Jewish grocery store was targeted days after the Charlie Hebdo newsroom massacre in what authorities say were coordinated attacks.,Charlie Hebdo recently reproduced caricatures of the Muslim prophet that stoked the ire of some Muslims when first produced. AP","Sep 26, 2020
                            ,10:21 AM (IST),4 hours ago                            ","Paris stabbing suspect wasn’t on police radar, minister says"
"Commemorations are set to begin honouring late Supreme Court Justice Ruth Bader Ginsburg at the US Capitol, the first woman in American history to lie in state at the domed building, capping days of commemoration of her extraordinary life.,Mourners are paying tribute to Ginsburg, who died last week at age 87, as her casket was on public view at the court's iconic steps. It the short made procession across the street Friday morning for the private Capitol ceremony with elected officials, family and other invited guests amid coronavirus social distancing restrictions.,Democratic presidential nominee Joe Biden and his wife, Jill, are expected to attend, as is running mate vice presidential nominee Kamala Harris.,House Speaker Nancy Pelosi is planning to welcome Ginsburg's casket as the Capitol under turmoil as President Donald Trump's prepares to announce a conservative nominee to replace the liberal icon weeks before the election.,Speaking ahead of the event, Pelosi told CBS that Americans need to know what's at stake for the “rush” to confirm Ginsburg's replacement.. — AP","Sep 26, 2020
                            ,07:48 AM (IST),7 hours ago                            ",Ginsburg first woman  to lie in state at Capitol
"Topeka (US), September 26,A state university president in Kansas whose decision in June to cancel a virtual speech by Ivanka Trump angered donors and others resigned Friday, after less than a year in the job.,The Board of Regents, which oversees Kansas’ higher education system, did not say why Wichita State University President Jay Golden stepped down, offering no details on what led up to it.,The university received national attention — and plenty of criticism — for dropping a virtual speech by President Donald Trump’s elder daughter for its technical school graduation.,“The Board is thankful for his service,” a statement from Bill Feuerborn, the regents’ chairman, said.,“We are appreciative of his hard work and dedication to the university and are grateful for his commitment to serving students.,“We wish him well in all his future endeavors.” Wichita State referred questions to a Board of Regents spokesman who did not return a telephone message from The Associated Press.,A home phone number for Golden could not be found.,Regent Jon Rolph, a Wichita restaurateur, told The Wichita Eagle that Golden’s resignation was not related to the Ivanka Trump controversy.,“Being a part of the conversations around accepting Jay’s resignation today, that was clear,” he said.,However, Rolph said state privacy laws prohibit him from discussing the circumstances of the resignation, but added that there was “no impropriety.”      ,Golden cancelled Ivanka Trump’s speech after students and faculty protested.,Steve Clark, a former Kansas regent from Wichita, sought Golden’s ouster in June and sent a letter then to board members saying Golden’s decision to cancel the speech by Ivanka Trump threatened a multimillion-dollar relationship with Koch Industries, the vast conglomerate led by billionaire and conservative political donor Charles Koch.,Clark said Friday that Golden, who previously served as vice-chancellor and professor of engineering at East Carolina University in North Carolina, “wasn’t a good cultural fit for our Midwest values here.” ,“I don’t think he was very good at balancing the interests of all the university stakeholders, the students, alums, faculty and donors and considering all things,” Clark said.,“I think it’s better for him and much better for the university.”                 ,Clark is the chairman and CEO of a Wichita investment firm and served as chairman of search committees for both Golden and his predecessor, John Bardo.,Golden became president in January, after Bardo died in March 2019.,Clark told the regents in June that canceling Trump’s speech damaged the school’s reputation with high-profile donors and relationships could be restored only if Golden left.,“There were numerous issues,” Clark said Friday.,“There were a lot of people upset at the Trump decision. He had his own agenda and he appeared to maybe not take, as I said, all stakeholders’ interests into consideration.”        ,But Kansas House Minority Leader Tom Sawyer, a Wichita Democrat, said the announcement caught him by surprise and that Golden appeared to be popular with students.,“I certainly hope it has nothing to do with the Trump thing,” he said.,“I would be disappointed if somebody would lose their job over that.”                 ,Wichita State has 14,000 students, including some 3,000 at its technical school and is home to a national institute on aviation research.,Parts of Wichita and its suburbs are politically conservative, and Donald Trump carried the county in 2016 by 18 percentage points. Ivanka Trump visited WSU Tech last year to promote its training programs.,The regents’ statement said Wichita State Provost Rick Muma will serve as acting president while the board considers options for an interim president. — AP","Sep 26, 2020
                            ,11:57 AM (IST),3 hours ago                            ",Kansas university president Jay Golden who cancelled Ivanka Trump speech resigns
"A woman was gang-raped by a group of men at a hostel of the Murari Chand College in Bangladesh’s Sylhet district, police sources said on Saturday.,According to the sources, perpetrators took the woman and her husband, who were visiting the college, to the hostel, where they tied up the husband and raped the woman on Friday night, reports The Daily Star newpaper.,“On information, police rescued the rape victim and her husband and sent her to the One-stop Crisis Centre at Sylhet MAG Osmani Medical College Hospital around 12.10 am,” said Jyotirmoy Sarker, additional deputy commissioner (media) of Sylhet Metropolitan Police (SMP).,“Police are trying to confirm the identities of the perpetrators and arrest them,” he said.,The police sources have alleged that the perpetrators were students of the college.,The college was yet to respond on the incident. IANS","Sep 26, 2020
                            ,11:55 AM (IST),3 hours ago                            ",Woman gang-raped in Bangladesh college hostel
"Tigers kept as pets in Mexico are often believed to be associated with drug traffickers, but there was little doubt as to one discovered in the southern state of Guerrero on Friday.,The 8-month-old Bengal tiger was found in a cage near a house where an assault rifle and marijuana were also discovered.,Guerrero state police and soldiers also found a metal structure meant to hold a machine gun in the back of a pickup truck. Nearby they found a T-shirt with the name of the “Familia Michoacana” drug cartel and “Brothers Hurtado”, a local offshoot.,The tiger was found in the township of Tlalchapa and was taken to a local zoo for safekeeping. AP","Sep 26, 2020
                            ,12:09 PM (IST),1 hour ago                            ",Tiger found in southern Mexico with drug gang paraphernalia
