content,time,title
"New Delhi, September 26,India's COVID-19 tally sprinted past 59 lakh with 85,362 fresh cases in a span of 24 hours, while over 48 lakh people have recovered from the disease so far, according to the Union Health Ministry's data updated on Saturday.,The total coronavirus cases rose to 59,03,932 with 85,362 infections being reported in a day, while the death toll reached 93,379 after 1,089 people succumbed to the disease in a span of 24 hours, the data updated at 8 am showed.,The total recoveries surged to 48,49,584 in the country, pushing the nation's recovery rate to 82.14 per cent.,The COVID-19 case fatality rate was recorded at 1.58 per cent.,There are 9,60,969 active cases in the country which comprises 16.28 per cent of the total caseload, the data stated.,India's COVID-19 tally had crossed the 20-lakh mark on August 7, 30 lakh on August 23, 40 lakh on September 5 and it went past 50 lakh on September 16.,According to the ICMR, a cumulative total of 7,02,69,975 samples have been tested up to September 25 with 13,41,535 samples being tested on Friday.,The new fatalities include 416 from Maharashtra, 86 from Karnataka, 84 from Uttar Pradesh, 72 from Tamil Nadu, 68 from Punjab, 59 from West Bengal, 48 from Andhra Pradesh, 30 from Madhya Pradesh, 25 from Chhattisgarh and 24 from Delhi.,Total 93,379 deaths reported so far in the country include 34,761 from Maharashtra, followed by 9,148 from Tamil Nadu, 8,417 from Karnataka, 5,606 from Andhra Pradesh, 5,450 from Uttar Pradesh, 5,147 from Delhi, 4,665 from West Bengal, 3,393 from Gujarat, 3,134 from Punjab and 2,152 from Madhya Pradesh.,The health ministry stressed that over 70 per cent of the deaths occurred due to comorbidities.,""Our figures are being reconciled with the Indian Council of Medical Research,"" the ministry said on its website, adding that state-wise distribution of figures is subject to further verification and reconciliation. PTI","Sep 26, 2020
                            ,10:24 AM (IST),4 hours ago                            ","India registers 85,362 new Covid infections in a day; single-day recoveries surpass fresh cases"
"Dubai, September 26,Young opener Prithvi Shaw, who starred in Delhi Capitals' victory over Chennai Super Kings, says his plan was to play along the ground and avoid ""silly mistakes"" after failing to make an impact in the first match.,Shaw was dismissed for five in DC's campaign opener against Kings XI Punjab but the 20-year-old made amends with a fluent 64 off 43 balls on Friday to lay the foundation of the team's 44-run victory against CSK.,""My plan was to play my natural game but play the shots along the ground, last game we saw there were some silly mistakes and it was not working for me or the team,"" Shaw told skipper Shreyas Iyer in a video posted on the IPL website.,Close friends and teammates in the IPL, but arch-rivals in the DC Team Room 😉,🎙️: , and , interview each other about , and battle for bragging rights 🤜🏻🤛🏻,📹 ➡️ ,Shaw shared a 94-run opening stand with Shikhar Dhawan to guide DC to 175 for three against CSK. The duo started slowly, scoring just 36 runs in the first six overs but soon gained momentum.,""CSK has some good pace bowlers, I was able to time the ball and get some gaps. As the spinners came on, even if we are 40/0, it doesn't matter, I knew me and Shikhar Dhawan could pace our innings after the powerplay,"" he said.,His fifty and a disciplined effort by bowlers helped DC thrash CSK to register their second win of the tournament and climb top of the points table.,Iyer was delighted by his side's performance and said they needed to capitalise on the winning momentum.,""As a captain, it's a nice feeling, when you start by winning your first two matches, it helps in giving you confidence and now we need to capitalise on the momentum.,""As a team, we have been doing fantastic off late. The more matches we win, the easier it will be for us in this year's IPL,"" said Iyer.,Asked about the six-day quarantine before the tournament, Iyer said it was quite challenging.,""First six days were very challenging, I thought they would pass very quickly, but it felt like a month seriously. I had to entertain myself in the room as I was watching movies, chatting with my friends."" PTI","Sep 26, 2020
                            ,05:26 PM (IST),1 hour ago                            ",Plan was to play shots along the ground: Prithvi Shaw
"Dubai, September 26,Chennai Super Kings head coach Stephen Fleming has admitted that his side were “a little bit muddled” at the moment and they need a clearer strategy going ahead after suffering two losses in three matches in the Indian Premier League.,Fleming also rued the missing of some key players that he said has affected the team combination.,“Well, we’re a bit muddled at the moment. We’re missing some key players, and we’re trying to find a balance that allows us to be competitive. We’re looking to develop a personality based on the wickets that we’re facing,” Fleming said after CSK lost to Delhi Capitals by 44 runs on Friday.,“Each wicket has been completely different, and our batting is without Rayudu, (Suresh) Raina etc. We’re trying to find a way or a combination and how to use players. We’ve learned a massive amount over three days,” he added.,Three-time champion CSK could not get going during the run chase against DC, and when asked why Sam Curran or Ravindra Jadeja was not promoted up the batting order, Fleming said they had used the same tactic in the last couple of games.,“We have almost got too many batting options at the moment, so that’s why I say we were a little bit muddled with what we’re sending out, so we just need to be a little bit clearer with what we’re doing, and perhaps what we’re missing is a bigger contribution at the top,” he said.,“It’s a lot of question marks and a lot of soul-searching from coaching point of view and strategy point of view, but we’re trying to find combinations where we get the best players at right times. To keep shunting the order all over the place is not really our style, but we’ve had a go at it and we’ll review how it’s gone.”,Spin bowling has been traditionally CSK’s strength but struggling at the moment, prompting Fleming to say it was an area of concern.,“Yeah, it’s an area of concern, because it’s been such a strength for CSK, and you’ve got to think that the style of play that we’ve developed over the last 12 years is heavily based on spin. So what we’re trying to do is find a different personality.,“Spin still plays a part, and we’ve played on three different grounds, so each game has been different conditions. We’re struggling to adjust to find the pace and the style to bowl through the middle, and that, in the last two games in particular, has been an area where we haven’t done so well. So from a strength to an area of concern, we need to rectify that.”,Asked about the possible team combination in the upcoming matches, Fleming said, “All bets are on the table at the moment as we try to find a way. We are looking forward to playing a number of games here (in Dubai), we were interested in how this pitch played, and get conditions right so we can get right combination.” ,The former New Zealand captain said the dew factor was something that his side couldn’t anticipate.,“We did (consider batting first) but what we can’t anticipate is the dew. We trained across the road the other day and it was soaking wet and it has a huge impact in second innings. Tonight, it was absolutely none so it’s a little bit of hit and miss at the moment,” he said.,“The last game we played in Sharjah was one of the wetter surfaces we’ve been involved in. We’re guessing a little bit around conditions. We are the guinea pigs in terms of playing first games on two venues.”           ,CSK’s next match is against Sunrisers Hyderabad on October 2. — PTI","Sep 26, 2020
                            ,06:07 PM (IST),32 mins ago                            ",We are ‘little bit muddled’ at the moment: CSK coach Fleming after second defeat
"Royal Challengers Bangalore captain Virat Kohli took the blame for his team’s 97-run thrashing by Kings XI Punjab in the Indian Premier League here. Kohli took the blame for dropping Kings XI Punjab skipper KL Rahul twice, which contributed significantly to their defeat on Thursday.,Kohli felt had he not dropped Rahul, who remained unbeaten on 132, KXIP would not have been able to go past the 200-run mark. “I have to stand in front and take the brunt of it,” Kohli said. “Not the best day in office, couple of important chances of KL when he was set and that cost us 35-40 runs at a later stage. Maybe if we restricted them to 180 we wouldn’t have been under pressure from ball one of the chase,” he added.,KXIP posted 206/3 and RCB were bundled out for 109 in 17 overs. “We know exactly where we went wrong and I have to put my hand up and say a couple of important chances went down,” Kohli said. “There are days when these kinds of things happen on the cricket field and we have to accept them. We have had a good game (against Sunrisers Hyderabad), we have had a bad game and now it is time to move on and learn from the mistakes we made,” he added.,KXIP skipper Rahul said he was lacking in confidence heading into the team’s second IPL fixture. “I have actually been not so confident,” Rahul said. “I had a chat with Maxi (Glenn Maxwell). He said ‘how are you feeling’. I said ‘I am not feeling completely in control of my batting’. He said ‘you must be joking, you are hitting really well’,” he added.,“Quite honestly I was nervous but I knew if I spend time in the middle, hit a few balls from the middle of the bat, it will all settle down,” Rahul said. — PTI","Sep 26, 2020
                            ,07:16 AM (IST),7 hours ago                            ",Skipper’s bad day in office
"Dubai, September 25,Delhi Capitals beat Chennai Super Kings by 44 runs to register their second consecutive win in the Indian Premier League here on Friday.,Sent into bat, DC made 175 for three and then restricted CSK to 131 for seven to keep their winning run intact.,Brief Scores: Delhi Capitals 175/3 in 20 overs (Prithvi Shaw 64 off 43 balls, Shikhar Dhawan 35 off 27 balls, Rishabh Pant 37 off 25 balls, Piyush Chawla 2/33).,Chennai Super Kings: 131 for seven in 20 overs (Faf du Plessis 43 off 35, Kedar Jadhav 26 off 21; Kagiso Rabada 3/26, Anrich Nortje 2/21). PTI","Sep 25, 2020
                            ,07:33 PM (IST),19 hours ago                            ","Delhi Capitals beat CSK by 44 runs, record second consecutive win in IPL"
"Sunil Gavaskar today said he did not blame Virat Kohli’s wife Anushka Sharma for Kohli’s failures as a batsman, adding that his remarks made during an IPL match were being “misinterpreted”.,Yesterday Kohli had a bad day in Royal Challengers Bangalore’s loss to Kings XI Punjab as he dropped KL Rahul twice and then scored only one run off five balls.,When Kohli was batting, Gavaskar said: “He knows that the more he practises the better he will be. And during the lockdown, he has only practised against the bowling of Anushka as seen in that video. That is not going to be enough.” Anushka was upset by the comment, saying it was “distasteful”.,Gavaskar today said his comments were in reference to a video clip which showed Kohli and Anushka playing tennis ball cricket in their compound. “I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar said. “It is tennis ball fun game that people have to pass time during the lockdown, so that’s all... So where am I blaming her for Virat’s failures?”,Gavaskar said he has never been sexist. “I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them?” he said. — TNS, agencies","Sep 26, 2020
                            ,07:20 AM (IST),10 hours ago                            ",I didn’t blame Anushka for Virat’s failures: Gavaskar
"Putting up a stout defence, iconic Sunil Gavaskar on Friday said neither he blamed Virat Kohli’s actor-wife Anushka Sharma for India captain’s failure nor he made any sexist remarks during an IPL match and his comments were being misinterpreted.,Kohli had a bad day in office on Thursday when he led Royal Challengers Bangalore against Kings XI Punjab. He dropped two catches of rival skipper KL Rahul and managed only a run off five balls in RCB’s chase.,While Kohli was still at crease, Gavaskar said India captain is keen to improve and he knows that he can do so only by practicing more and more. He then added that during the lockdown Kohli faced only Anushka’s bowling and it is showing that it did not help much.,Gavaskar was speaking in Hindi when he made the comment.,However, the comment did not go down well with Kohli and Anushka’s fans and some even demanded his sacking from Star Sports commentary panel, lashing out at him on social media.,Reacting to it, Anushka also issued a statement on her Instagram page and said that Gavaskar’s message was “distasteful”.,Gavaskar though said his comments were not understood in right context.,The remark according to Gavaskar was in reference to a video clip where Kohli and Anushka were seen enjoying some tennis ball cricket in their compound.,“Firstly, I would like to say, where am I blaming her, I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar told India Today channel.,“It is tennis ball fun game that people have to pass time during the lockdown, so that’s all, so where am I blaming her for Virat’s failures.”                 ,Gavaskar also rubbished allegations on social media that he made a “sexist comment”.,“I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them,” Gavaskar said.,He also tried to explain his comment.,“As you can hear from the commentary, Aakash was talking about the fact there has been very little chance for any proper practice in the lockdown, for everybody...,“.....that has actually shown in rustiness of some of the players in their first matches. Rohit (Sharma) didn’t strike the ball well, now in the second match he has got runs, MSD (Mahendra Singh Dhoni) didn’t strike the ball well in the first match.”   ,He then also explained what exactly he said.                 ,“.....Anushka was bowling to him, so that’s what I said, that’s the only bowling, I have not used any other word. She was bowling to him, that’s all, where am I blaming her, where I am being sexist in this.”          ,“I’m just only stating what was seen on the video which was maybe recorded by somebody in the neighbouring buildings and put up and that’s the only thing I’m doing, but the point I’m making trying to make is that there was no practice for anybody including Virat in the lockdown., “...I have not been sexist, if somebody has interpreted it, what can I do,” Gavaskar said. PTI","Sep 25, 2020
                            ,06:35 PM (IST),24 hours ago                            ",I never blamed Anushka nor made sexist comment: Sunil Gavaskar
"Chennai Super Kings captain Mahendra Singh Dhoni is not happy with the performance of both his batting and bowling units after his side suffered their second consecutive loss in the Indian Premier League.,After CSK’s 44-run defeat at the hands of Delhi Capitals here on Friday, Dhoni said his batting unit was lacking “a bit of steam” while the spinners were “yet to come to the party”.,It was CSK’s third match and second defeat after beating defending champions Mumbai Indians in the tournament opener.,“I don’t think it was a good game for us. There was no dew, but the wicket did slow down. We are lacking a bit of steam in the batting and that hurts. The run rate keeps on mounting after such slow starts and adds pressure, we need to figure that out,” Dhoni said after the match against DC.,“We need to come back with a clearer picture, looking at the combination. Maybe, the team balance will get better once Rayudu comes back in the next game.”                ,Dhoni was referring to Ambati Rayudu who struck a brilliant 48-ball 71 in CSK’s five-wicket win over MI in the tournament opener before suffering a hamstring injury.,The CSK captain expressed hope that Rayudu will be available in their next game, which according to him will provide the much-needed balance to the side.,“That will give us the room to experiment with an extra bowler perhaps. There are quite a few things we can think about. We are one batter extra to start off, so the players need to step up.”      ,Dhoni also asked his bowlers to pull up their socks after two ordinary outings.,“We need to get better with our lengths, lines and pace. I think the spinners have not come to the party yet. We are bowling good deliveries, but we are giving away the boundary deliveries bit too often,” he said.,Barring some fielding lapses, Delhi Capitals captain Shreyas Iyer is happy with the performance of his side so far.,“I am really happy with the performance. I would give them the benefit of doubt, is tough to catch in these conditions. You misjudge the ball, really don’t know how to pace yourself,” he said.,“In the team meeting we decided that we are going to assess the batting conditions early and then play accordingly. The way the openers started gave us a lot of confidence and the finish was good too. I am lucky to have KG (Kagiso Rabada) and Nortje in the team. It’s important to stick together as a team and we need to enjoy each other’s success.” PTI","Sep 26, 2020
                            ,10:00 AM (IST),9 hours ago                            ",Dhoni says CSK not doing well both in batting and bowling
"Abu Dhabi, September 25,Skipper Dinesh Karthik’s tactical nous will once again be put to test when Kolkata Knight Riders take on a depleted Sunrisers Hyderabad in their second IPL fixture here on Saturday.,Much was expected from a revamped Kolkata Knight Riders set-up but it seemed Karthik did not learn from his past mistakes and made some inexplicable decisions that led to their complete capitulation against Mumbai Indians.,Once again, the batting position of their biggest hitter Andre Russell became the talking point in their 49-run loss to Mumbai Indians.,The Jamaican, who was their highest run-getter last season with 510 runs from 249 deliveries and the tournament’s highest strike rate of 204.81, was seen at No 6 but by then the task had become extremely difficult.,World Cup winning captain Eoin Morgan, who was roped in to bolster the wobbly middle order, also could not do much as the asking rate had shot past 13 by the time he came to bat at No 5.,In bowling too, there was a tactical blunder by holding back their ace spinner Sunil Narine till the last over of power play.,On a day, their biggest buy Pat Cummins failed miserably, Narine was given a go only when his IPL ‘bunny’ Rohit Sharma was well set.,It really defied logic to see such a defensive strategy by a team now coached by Kiwi great Brendon Mccullum who is known for his aggressive mindset.,Known to put up a balanced side on the park, Hyderabad lacked strength and experience in their middle-order, failing miserably against Royal Challengers Bangalore.,Needing just 43 runs from last five overs, SRH lost their last seven wickets for 32 runs to lose the game by 10 runs.,If that was not enough, injury to their all-rounder Mitchell Marsh has compounded their misery.,Skipper David Warner, after being run out in an unfortunate manner at the non-striker’s end, will be keen to get into the act, while it remains to be seen whether Kane Williamson has recovered from his injury to bolster the batting department.,SRH bowling has always been impressive and it seems the think tank may bring in Mohammed Nabi to bowl alongside his fellow mate Rashid Khan while Bhuvneshwar Kumar will spearhead the pace attack., Dinesh Karthik (captain & wicketkeeper), Andre Russell, Kamlesh Nagarkoti, Kuldeep Yadav, Lockie Ferguson, Nitish Rana, Prasidh Krishna, Rinku Singh, Sandeep Warrier, Shivam Mavi, Shubman Gill, Siddhesh Lad, Sunil Narine, Pat Cummins, Eoin Morgan, Varun Chakravarthy, Tom Banton (Wicketkeeper), Rahul Tripathi, Chris Green, M Siddharth, Nikhil Naik (Wicketkeeper), Ali Khan., David Warner (Captain), Jonny Bairstow (Wicketkeeper), Kane Williamson, Bhuvneshwar Kumar, Mohammad Nabi, Rashid Khan, Manish Pandey, Virat Singh, Shahbaz Nadeem, Mitchell Marsh, Fabian Allen, Vijay Shankar, Sanjay Yadav, Wriddhiman Saha (Wicketkeeper), Shreevats Goswami (Wicketkeeper), Bavanaka Sandeep, Basil Thampi, Priyam Garg, Abdul Samad, Khaleel Ahmed, Sandeep Sharma, Siddarth Kaul, Billy Stanlake, T Natarajan, Abhishek Sharma. PTI","Sep 25, 2020
                            ,02:15 PM (IST),1 day ago                            ",Karthik captaincy in focus as KKR face Sunrisers
"Ramesh Batlish,Students are eagerly awaiting the JEE Advanced Exams scheduled for September 27, 2020 to be organised by IIT Delhi. The time duration allotted to each paper remains 3 hours.,As per the exam pattern of JEE Advanced 2020, the examination will be a computer-based test. There are questions of multiple-choice type with either a single correct answer or multi correct answers. There could be comprehensions followed by two or more objective type questions with single or multi correct answers.,The matrix-match type questions may involve matching two columns or even three columns.,The Integer type questions involve a subjective type question with the answer an integer or could be asked correct to two decimal places. Students are advised to be careful as the paper has negative marking.,The strategy during the exam should be built with effective time management and subject-wise planning.,Keep the following points in mind as you take one of the toughest engineering entrance tests.,1. Do sleep for 6 to 7 hours in the night a day before the exam.,2.,3. Remember to read all the instructions on question paper carefully.,4. Solve the paper in two rounds. In the first round, start with the subject in order of your comfort level to maximize attempted questions with not more than 45 minutes on each subject.,5. Use the last 45 minutes to solve remaining questions in the second attempt and for revision.,6. Do not spend more than a minute on any question if you find that you are not nearing a solution. Go to the next question.,7.  Do not guess if you are not sure in a question with negative marks assigned to it.,8. You must attempt all questions which do not carry negative marks.,9. Remember it is the relative performance that counts, so believe in yourself and give your best shot and you will ace JEE Advanced 2020., All the best !!!,The writer is FIITJEE Expert","Sep 26, 2020
                            ,03:26 PM (IST),3 hours ago                            ",Last Minute Tips for JEE Advanced 2020
