content,time,title
"Putting up a stout defence, iconic Sunil Gavaskar on Friday said neither he blamed Virat Kohli’s actor-wife Anushka Sharma for India captain’s failure nor he made any sexist remarks during an IPL match and his comments were being misinterpreted.,Kohli had a bad day in office on Thursday when he led Royal Challengers Bangalore against Kings XI Punjab. He dropped two catches of rival skipper KL Rahul and managed only a run off five balls in RCB’s chase.,While Kohli was still at crease, Gavaskar said India captain is keen to improve and he knows that he can do so only by practicing more and more. He then added that during the lockdown Kohli faced only Anushka’s bowling and it is showing that it did not help much.,Gavaskar was speaking in Hindi when he made the comment.,However, the comment did not go down well with Kohli and Anushka’s fans and some even demanded his sacking from Star Sports commentary panel, lashing out at him on social media.,Reacting to it, Anushka also issued a statement on her Instagram page and said that Gavaskar’s message was “distasteful”.,Gavaskar though said his comments were not understood in right context.,The remark according to Gavaskar was in reference to a video clip where Kohli and Anushka were seen enjoying some tennis ball cricket in their compound.,“Firstly, I would like to say, where am I blaming her, I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar told India Today channel.,“It is tennis ball fun game that people have to pass time during the lockdown, so that’s all, so where am I blaming her for Virat’s failures.”                 ,Gavaskar also rubbished allegations on social media that he made a “sexist comment”.,“I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them,” Gavaskar said.,He also tried to explain his comment.,“As you can hear from the commentary, Aakash was talking about the fact there has been very little chance for any proper practice in the lockdown, for everybody...,“.....that has actually shown in rustiness of some of the players in their first matches. Rohit (Sharma) didn’t strike the ball well, now in the second match he has got runs, MSD (Mahendra Singh Dhoni) didn’t strike the ball well in the first match.”   ,He then also explained what exactly he said.                 ,“.....Anushka was bowling to him, so that’s what I said, that’s the only bowling, I have not used any other word. She was bowling to him, that’s all, where am I blaming her, where I am being sexist in this.”          ,“I’m just only stating what was seen on the video which was maybe recorded by somebody in the neighbouring buildings and put up and that’s the only thing I’m doing, but the point I’m making trying to make is that there was no practice for anybody including Virat in the lockdown., “...I have not been sexist, if somebody has interpreted it, what can I do,” Gavaskar said. PTI","Sep 25, 2020
                            ,06:35 PM (IST),24 hours ago                            ",I never blamed Anushka nor made sexist comment: Sunil Gavaskar
"Dubai, September 25,Delhi Capitals beat Chennai Super Kings by 44 runs to register their second consecutive win in the Indian Premier League here on Friday.,Sent into bat, DC made 175 for three and then restricted CSK to 131 for seven to keep their winning run intact.,Brief Scores: Delhi Capitals 175/3 in 20 overs (Prithvi Shaw 64 off 43 balls, Shikhar Dhawan 35 off 27 balls, Rishabh Pant 37 off 25 balls, Piyush Chawla 2/33).,Chennai Super Kings: 131 for seven in 20 overs (Faf du Plessis 43 off 35, Kedar Jadhav 26 off 21; Kagiso Rabada 3/26, Anrich Nortje 2/21). PTI","Sep 25, 2020
                            ,07:33 PM (IST),19 hours ago                            ","Delhi Capitals beat CSK by 44 runs, record second consecutive win in IPL"
"Rome, September 26,Two months of physical training. Then three months of practice on clay courts. Followed by two straight titles on the red dirt.,Amid all the tumult of the coronavirus pandemic, Simona Halep might very well have found the perfect formula to prepare for the French Open.,When the clay-court Grand Slam tournament begins on Sunday, 2018 champion Halep will be on court against 70th-ranked Sara Sorribes Tormo.,“I was very strict to the schedule, and I have worked a lot and I have improved a lot physically,” Halep said of her time at home in Romania during the lockdown.,“That's why I can run, I can feel fit every match. My legs are stronger and stronger, which gives me confidence during the matches, and also on clay it's (helpful).”    ,Ranked second but seeded No. 1 at Roland Garros because defending champion Ash Barty is not playing, Halep enters with a 9-0 record since tennis restarted, with titles on clay in Prague and Rome — and a 14-match winning streak that dates to February.,Separated from her Australian coach Darren Cahill for seven months during the pandemic, Halep spent the extended break from competition with her Romanian coach, Artemon Apostu-Efremov.,“First part of pandemic, it was mostly physical, because in Romania we weren't allowed to do any tennis until 15th of May,” Apostu-Efremov told The Associated Press.,“Then when it was possible to go out and play again … all our practice was on clay.,“We've been, for a while, on clay,"" he said, ""and you get more used (to) the bounce, with the angles, and I hope this will be an advantage for her.”   ,Another possible edge for Halep: She didn't play the recently concluded US Open, having decided against traveling overseas due to health concerns amid the pandemic. So she wasn't worn down by a deep run in New York — or even just the travel and jet lag — like many of her main challengers.,At the Italian Open, Halep's final three matches came against Yulia Putintseva, Garbiñe Muguruza and Karolína Pliskova — all three of whom played at the US Open.,Putintseva and Pliskova each retired because of injury after losing the first set to Halep, while Muguruza was methodically worn down over the course of a long three-setter.,With the French Open being rescheduled from its usual May-June slot to late September and early October, cooler and wetter-than-usual weather could play to Halep's strongpoint: outlasting opponents over long rallies with her fluid movement and improved stamina.,“To play (an) aggressive game against her is going to be quite tough,” said Pliskova.,“And she (already) had big success in Paris, so I think she's going to be one of my favorites to go for the title.”,Halep's decision to sit out the US Open was made with the same logic she used when she decided not to compete in the 2016 Rio de Janeiro Olympics due to concerns over the Zika virus.,“If I don't feel relaxed mentally about the health, I don't go,” she said.,“So that's why I didn't play Olympics few years ago. That's why I didn't play US Open. I just feel stressed. And when I feel stressed, I prefer to stay home.” ,While virus cases are increasing across France — the number of spectators at the French Open has been dropped to 1,000 per day — Halep clearly feels comfortable in Paris, a city she calls her “favorite”.,Having previously lost two French Open finals, Halep claimed her first Grand Slam title at Roland Garros two years ago by rallying from a set down to beat Sloane Stephens. Halep added a second major trophy by dropping only four games against Serena Williams in last year's Wimbledon final.,So consider Halep, who can reclaim the top-ranking from Barty if she wins Roland Garros again, ready to deal with the expectations of being a favorite.,“She has big expectations of herself,” said Apostu-Efremov.,“This is a strange year and everyone has to adapt to the new environment, new conditions, (fewer) spectators. Some do it better, some miss some of this old stuff.”,Halep, it seems, is better prepared than ever. AP","Sep 26, 2020
                            ,06:02 PM (IST),43 mins ago                            ",Perfect prep: Halep takes 14-match win streak to French Open
"Gaurav Kanthwal ,Tribune News Service ,Chandigarh, September 25,Indian national team goalkeeper Gurpreet Singh Sandhu has won the 2019-20 AIFF Men's Footballer of the Year Award, while Sanju Yadav has got the AIFF Women’s Footballer of the Year Award.,Sandhu, 28, hails from Chandigarh while Sanju Yadav, 22, is a native of Alakhpura, Haryana.,This is the first time Sandhu has received the prestigious award. He also became the second goalkeeper after Subrata Paul in 2009 to be named the AIFF Player of the Year.,The Blue Tigers custodian was elected as the winner on the basis of votes from Indian Super League and I-League club coaches.,Sanju plays as a forward for the Indian team and Gokulam Kerala in the Indian Women's league.,Sanju Yadav says the men’s team skipper Sunil Chhetri is an inspiration for her and a generation of players who took up the sport in the country. ","Sep 25, 2020
                            ,06:38 PM (IST),1 day ago                            ","Gurpreet Sandhu, Sanju Yadav win AIFF’s best footballer of the year award"
"Barcelona, September 25,Lionel Messi criticised the exit of teammate and good friend Luis Suárez on Friday, dealing another blow to the damaged relationship between the Argentine and Barcelona's leadership.,Messi posted a photo of himself with Suárez on Instagram with a message expressing his sadness for his friend's departure and his anger at how the club transferred him to Atlético Madrid.,“It is going to be so strange seeing you in another shirt, and even stranger to have to play against you,” Messi wrote.,“You deserved a sending-off fit for what you are: one of the most important players in club history, both for what you did for the group and individually — not the one they gave you. But it is true that at this point nothing surprises me.”     ,Barcelona decided to overhaul its squad after the 8-2 loss to Bayern Munich in the Champions League last month.,The 33-year-old Suárez was told by incoming coach Ronald Koeman that he was no longer wanted. The club, hard hit financially by the coronavirus pandemic, also needed to reduce its expenditures on salaries for its players.,Suárez bid farewell to Barcelona's fans in an emotional news conference on Thursday. He leaves Camp Nou as the club's third leading scorer with 198 goals.,The Uruguayan helped Barcelona win 13 titles since arriving in 2014 from Liverpool, including four Spanish league trophies and the Champions League in 2015.,Suárez forged a dynamic scoring duo with Messi over the years, and the two South Americans became neighbors and fast friends, along with their families.,“I was accepting the idea (of your departure), but not until I entered the changing room did I realize what it means,” Messi wrote.,“How difficult it is going to be not sharing each day with you, both on and off the field. We will miss you very much. These have been many years of many mates, lunches, dinners ... many things I won't forget from all those days together.” ,Barcelona transferred Suárez to Spanish league rival Atlético for 6 million euros ($7 million).,Messi had tried to leave the club he has been a part of for 20 years after the debacle against Bayern, but Barcelona replied that he must finish the final year of his contract.,Suárez also took Messi's side in the dispute on Thursday when he said: “I have to accept it if the club decides it is time that I go, just like the club should accept it if a player wants to leave.”      ,Messi, however, has already given up in trying to leave this season. He has vowed to play his hardest for the team while he remains — even if he is even more disgruntled after Suárez's departure.,Messi's comments are the latest run-in between him and the club's board. Club president Josep Bartomeu has called for elections in March, in which he cannot run again, but he is also facing a censure referendum that could oust him and his board in the coming weeks. AP","Sep 25, 2020
                            ,06:10 PM (IST),1 day ago                            ",Messi lashes out at Barcelona for selling Luis Suárez
"Sunil Gavaskar today said he did not blame Virat Kohli’s wife Anushka Sharma for Kohli’s failures as a batsman, adding that his remarks made during an IPL match were being “misinterpreted”.,Yesterday Kohli had a bad day in Royal Challengers Bangalore’s loss to Kings XI Punjab as he dropped KL Rahul twice and then scored only one run off five balls.,When Kohli was batting, Gavaskar said: “He knows that the more he practises the better he will be. And during the lockdown, he has only practised against the bowling of Anushka as seen in that video. That is not going to be enough.” Anushka was upset by the comment, saying it was “distasteful”.,Gavaskar today said his comments were in reference to a video clip which showed Kohli and Anushka playing tennis ball cricket in their compound. “I’m not blaming her. I am only saying that the video showed she was bowling to Virat. Virat has only played that much bowling in this lockdown period,” Gavaskar said. “It is tennis ball fun game that people have to pass time during the lockdown, so that’s all... So where am I blaming her for Virat’s failures?”,Gavaskar said he has never been sexist. “I’m the one who has always batted for wives going with husbands on tours. I am the one who has always said that like a normal guy going to office for a 9-5 job, when he comes back home, he comes back to his wife, similarly why can’t cricketers have their wives with them?” he said. — TNS, agencies","Sep 26, 2020
                            ,07:20 AM (IST),10 hours ago                            ",I didn’t blame Anushka for Virat’s failures: Gavaskar
"Sochi (Russia), September 25,Valtteri Bottas set the practice pace on Friday for a Russian Grand Prix that could see Mercedes team mate Lewis Hamilton equal Michael Schumacher's all-time record of 91 Formula One wins.,Bottas was quickest in both sessions, with Hamilton ending the day second overall – 0.267 slower – after tyre problems in the morning left him 19th.,It was the sixth race weekend in a row that Bottas, who has so far won only the opening race in Austria in July, had topped the first session timesheets and Mercedes again looked the team to beat.,The Finn also led the way at the Tuscan Grand Prix in Italy two weeks ago, only for Hamilton to seize pole position and then take his sixth win in nine races this year and 90th of his career.,Australian Daniel Ricciardo signalled the emerging threat from Renault by posting the second fastest time in the morning and third in the afternoon when McLaren's Carlos Sainz and Lando Norris were fourth and fifth.,Sainz had hit the barriers in an interrupted first session, damaging his car's rear wing.,Mercedes technical director James Allison told Sky Sports television that Hamilton damaged his hard tyres early in the opening session.,""It's incredibly easy to lock up a tyre and destroy the tyre set for the remainder of the session,"" he said.,The Russian Grand Prix will be the first race of a COVID-hit season with a significant number of fans present and organisers, who had aimed for a 30,000-strong crowd, said all tickets were sold out.,Mercedes have won every race at the Sochi circuit since the first in 2014, with six times world champion Hamilton triumphant on four occasions.,The champions have also started every race this season on pole position.,Hamilton leads Bottas by 55 points after nine races.,Red Bull's Max Verstappen was third fastest in the morning, when Canadian Nicholas Latifi crashed and brought out red flags, but dropped to seventh after lunch.,Mexican Sergio Perez was fourth and sixth fastest in the sessions for Racing Point.,Sebastian Vettel was the highest Ferrari driver in ninth in the morning but team mate Charles Leclerc ended the second session eighth. Reuters","Sep 25, 2020
                            ,09:01 PM (IST),22 hours ago                            ",Bottas fastest in Russian Grand Prix practice
"New Delhi, September 25,Sachin Tendulkar has no doubts in his mind that  Dean Jones would have been one of the ""most sought after batsmen"" if he were to be part of the T20 generation and called him a player well ahead of his time.,The 59-year-old former Australia batsman died of cardiac arrest in a Mumbai hotel on Thursday. He was in India as a part of host broadcaster's commentary panel.,Tendulkar, who fondly remembers his on-field battles during the Australia tour of 1991-92, said he would be glued to TV set as a young cricketer when Jones batted.,Such was his fearless style of play that he would have excelled in T20 cricket, feels the Indian legend.,""He would have been hundred per cent one of the most popular T20 players without any doubt,"" Tendulkar told PTI during a conversation, his voice tinged with sadness.,""Had there been an auction, Deano would have been a player much in-demand. He was an innovative stroke player, a fantastic runner between the wickets and a brilliant fielder, everything that you require for T20s.""     ,Tendulkar believes that Jones' quality to improvise in ODIs would mean that he was aware about the demands of the game and played as per the situation.,""Since he was such a good ODI player, he would have adapted to the ever changing rules of T20 better. Cricket formats are dynamic and I believe he had that quality to evolve as per demands and would have made a terrific T20 player."",Tendulkar remembered how Jones used to charge down the track to fast bowlers even in the mid and late 80's when aggressive batting wasn't exactly in vogue.,""Whatever cricket he played in the 80's and early 90's, he was ahead of his time. He would charge the fast bowlers and that was back in 80's.,""We talk about innovations but remember some shots that are being played today, the earlier generations have also played, well before even we started and Deano was one of them,"" he said.,Tendulkar remembered the 1986 tied Test. He was 13 then and a trainee at Ramakant Achrekar's academy at Shivaji Park Gymkhana and how Jones' 210 made all the youngsters interested about the Australian.,""I remember I was 13 when tied Test happened and he scored that double hundred.,""When I went to Australia for the first time in 1991-92, they were a great team. There was David Boon, Geoff Marsh, Steve Waugh, Bruce Reid and Craig McDermott but for us in the Indian team, there were two players we spoke about most — AB (skipper Allan Border) and Deano (Dean Jones).,""Literally No. 1 and 2 key players for us and then there was McDermott,"" Tendulkar recollected.,The attribute of Jones that has always stayed with Tendulkar was his fearlessness while facing fast bowlers on bouncy tracks and at times without helmets.,""I enjoyed watching him bat and at times without the helmet. What stood out was not just his contributions for Australia but that he was an entertainer-par-excellence.,""You can't deny that your eyeballs glued to the TV when Deano batted and you didn't want to miss that chance.""     ,Tendulkar remembered how Jones scored a match-winning knock against India in a 1992 World Cup game in Brisbane and how that loss hurt.,""You never enjoyed when he scored against India and Brisbane game was one such game (Jones scored 90). And then, we were docked three overs and the run reduced from Australia's total was one. Such a rule made it difficult for us,"" Tendulkar remembered as if it was yesterday.,He finds it difficult to believe that Jones is no more.,""It's a better pill to swallow. Whatever you say, it is a massive tragedy. My heart goes out to his friends and family. Just think of it, he was only 59 years old.   He may have had so much to contribute. I pray for his departed soul,"" Tendulkar concluded. PTI","Sep 25, 2020
                            ,08:39 PM (IST),22 hours ago                            ","Had Dean Jones played today, he would have been sought after in T20 cricket: Sachin Tendulkar"
"New Delhi, September 25,The Asian leg of the rejigged 2020 BWF World Tour has been postponed to January due to logistical complexities, the Badminton World Federation announced on Friday.,The three Asian rounds, which were earlier scheduled to be held in November, will now be played between January 12-31 in Bangkok, Thailand, which means the 2020 season will end in 2021.,The decision to postpone the Asian leg, featuring two Super 1000 tournaments, culminating with the BWF World Tour Finals, was taken at a BWF Council meeting on Thursday evening.,“It was agreed by the BWF Council that staging the Asian leg in November as originally planned was no longer a viable option in being able to guarantee the highest standard of tournament including securing all logistical arrangements for players and participants,” the BWF said in a statement.,The two Super 1000 tournaments, the Asian Open I and Asian Open II will now be played from January 12 -17 and 19-24 respectively, while the BWF World Tour Finals is scheduled for January 27 to 31.,“The three Asian leg tournaments now sit alongside the DANISA Denmark Open  (October 13-18) in forming the conclusion to the new-look HSBC World Tour 2020 calendar,” it added.,According to reports, the apex body had earlier considered Indonesia as the host for the three events but the country decided to cancel its application due to the global health crisis.,BWF president Poul-Erik Hoyer Larsen and its secretary-general Thomas Lund in a joint letter said that although the postponement of the Asian leg to next year would affect the world rankings and 2021’s tournament calendar, it was the best option given the current circumstances.,“We acknowledge that pushing the back end of the HSBC BWF World Tour 2020 season into the beginning of next year is likely to affect the World Rankings and next season’s BWF Tournament Calendar.,“....But this solution for the Asian leg gives us the best opportunity to resume and complete this year’s HSBC BWF World Tour as part of our return to international badminton.” “From the start, we emphasised we would only see a return to international badminton if it was safe and logistically possible to do so. Therefore, for the past six months, we have been 100% dedicated to preparing for the safe return to international badminton,” letter read.,The news comes a week after the BWF was forced to postpone the Thomas and Uber Cup after multiple teams, including Indonesia, South Korea Thailand, Australia, Chinese Taipei and Algeria, pulled out due to the COVID-19 pandemic.,The world body also cancelled the Denmark Masters 2020 scheduled from October 20 to 25.,The Denmark Open badminton tournament scheduled to be held in Odense from October 13 to 18 will mark the resumption of international badminton after it came to a halt in March because of the dreaded virus. PTI ","Sep 25, 2020
                            ,10:13 PM (IST),21 hours ago                            ",Badminton World Federation postpones Asian leg of World Tour to January 2021
"Paris, September 26,Former top-10 player Fernando Verdasco said he had been dropped from the French Open because of what he believed was a false positive result on a coronavirus test.,The 36-year-old from Spain had played in 67 consecutive Grand Slam tournaments until missing this year's US Open.,Verdasco wrote Friday on Twitter — two days before play begins at Roland Garros — that he had COVID-19 in August and did not have symptoms. He said that was followed by negative results until he tested positive this week.,💔 ,Verdasco said he asked for another test, but French Open organisers refused. He said he took other, unofficial tests on his own that came out negative.,“It makes me sad and feeling absolutely frustrated,” Verdasco wrote.,He was a semifinalist at the 2009 Australian Open and is currently ranked 58th. AP","Sep 26, 2020
                            ,04:33 PM (IST),2 hours ago                            ",Fernando Verdasco out of French Open for positive Covid-19 test
